BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
IID,19Jul2022,Pacific,N,"18,083","18,697","21,901","3,103",,"4,751",,,758,"5,132",,"11,260",,"1,214","1,438",451,,1.03,,,"2,230",,114,"2,344",271,416,"2,199","21,901","18,798",0.24,0.26
IID,20Jul2022,Pacific,N,"18,472","18,331","20,808","2,385",,"4,548",,,840,"4,270",,"11,150",,"1,354",976,55,,1.03,,,"2,133",,108,"2,241",304,374,"2,170","20,808","18,423",0.24,0.26
IID,21Jul2022,Pacific,N,"18,840","17,489","20,126","2,542",,"3,629",,,797,"4,502",,"11,198",,"1,301",983,258,,1.03,,,"1,701",,110,"1,811",208,301,"1,717","20,126","17,584",0.20,0.22
IID,22Jul2022,Pacific,N,"19,028","17,700","20,347","2,544",,"3,843",,,751,"4,540",,"11,213",,"1,324","1,194",26,,1.04,,,"1,804",,110,"1,914",233,318,"1,829","20,347","17,803",0.21,0.23
IID,23Jul2022,Pacific,N,"16,913","15,707","19,374","3,567",,"3,939",,,633,"3,786",,"11,016",,"1,097","2,371",99,,1.04,,,"1,854",,103,"1,957",118,382,"1,692","19,374","15,807",0.22,0.24
IID,24Jul2022,Pacific,N,"15,505","15,792","21,254","5,364",,"4,841",,,560,"4,894",,"10,959",,"1,330","3,919",115,,1.04,,,"2,274",,109,"2,384",170,637,"1,917","21,254","15,890",0.25,0.27
IID,25Jul2022,Pacific,N,"15,910","16,353","20,025","3,575",,"4,709",,,640,"3,649",,"11,027",,"1,324","2,436",-185,,1.04,,,"2,212",,102,"2,314",138,453,"1,999","20,025","16,450",0.25,0.27
IID,26Jul2022,Pacific,N,"16,317","16,950","22,612","5,549",,"5,427",,,677,"5,404",,"11,104",,"1,029","4,272",248,,1.03,,,"2,548",,114,"2,662",70,604,"2,128","22,612","17,063",0.26,0.27
IID,27Jul2022,Pacific,N,"16,485","16,263","21,658","5,279",,"5,318",,,737,"4,602",,"11,001",,892,"4,273",114,,1.03,,,"2,494",,109,"2,603",44,590,"2,057","21,658","16,379",0.26,0.28
IID,28Jul2022,Pacific,N,"16,675","16,381","21,530","4,974",,"5,448",,,788,"4,133",,"11,161",,953,"3,750",271,,1.03,,,"2,557",,107,"2,665",52,598,"2,119","21,530","16,556",0.27,0.28
IID,29Jul2022,Pacific,N,"16,423","15,952","20,236","4,174",,"5,195",,,764,"3,752",,"10,525",,900,"3,432",-158,,1.03,,,"2,438",,100,"2,539",147,533,"2,153","20,236","16,062",0.28,0.30
IID,30Jul2022,Pacific,N,"15,385","15,383","18,972","3,469",,"6,120",,,647,"3,773",,"8,432",,491,"3,033",-55,,1.03,,,"2,873",,86,"2,958",148,534,"2,572","18,972","15,503",0.34,0.37
IID,31Jul2022,Pacific,N,"15,298","15,396","21,353","5,808",,"5,886",,,574,"5,445",,"9,448",,860,"4,747",201,,1.04,,,"2,767",,103,"2,870",212,734,"2,348","21,353","15,545",0.30,0.33
IID,01Aug2022,Pacific,N,"16,140","16,568","19,392","2,700",,"6,293",,,566,"4,345",,"8,188",,662,"1,928",110,,1.04,,,"2,957",,87,"3,045",142,454,"2,733","19,392","16,692",0.35,0.36
IID,02Aug2022,Pacific,N,"16,486","17,616","21,197","3,425",,"5,767",,,568,"5,056",,"9,806",,990,"2,295",140,,1.04,,,"2,712",,103,"2,815",161,490,"2,486","21,197","17,772",0.29,0.31
IID,03Aug2022,Pacific,N,"17,134","17,710","21,327","3,449",,"5,555",,,655,"4,661",,"10,456",,770,"2,295",384,,1.04,,,"2,609",,105,"2,714",109,443,"2,379","21,327","17,878",0.28,0.29
IID,04Aug2022,Pacific,N,"16,589","15,374","19,557","4,008",,"4,810",,,686,"3,144",,"10,917",,431,"3,429",148,,1.04,,,"2,259",,98,"2,357",70,496,"1,931","19,557","15,549",0.27,0.27
IID,05Aug2022,Pacific,N,"16,806","15,837","21,734","5,711",,"4,719",,,659,"5,290",,"11,066",,870,"4,798",43,,1.04,,,"2,217",,113,"2,330",88,606,"1,812","21,734","16,023",0.24,0.25
IID,06Aug2022,Pacific,N,"16,308","16,805","21,585","4,640",,"4,766",,,639,"5,074",,"11,106",,671,"3,409",560,,1.04,,,"2,244",,112,"2,356",104,470,"1,990","21,585","16,945",0.24,0.26
IID,07Aug2022,Pacific,N,"16,521","16,123","19,762","3,512",,"4,628",,,547,"3,833",,"10,754",,431,"2,686",395,,1.04,,,"2,176",,101,"2,276",77,390,"1,964","19,762","16,250",0.25,0.27
IID,08Aug2022,Pacific,N,"16,535","16,194","19,748","3,423",,"4,597",,,596,"4,189",,"10,366",,337,"2,799",287,,1.03,,,"2,157",,101,"2,258",156,389,"2,024","19,748","16,325",0.25,0.27
IID,09Aug2022,Pacific,N,"16,364","16,607","20,265","3,526",,"4,693",,,601,"4,449",,"10,522",,620,"2,813",93,,1.03,,,"2,202",,104,"2,306",127,395,"2,038","20,265","16,739",0.25,0.27
IID,10Aug2022,Pacific,N,"16,687","17,427","21,246","3,683",,"4,750",,,695,"5,274",,"10,527",,359,"3,143",181,,1.03,,,"2,227",,110,"2,337",180,402,"2,115","21,246","17,563",0.24,0.27
IID,11Aug2022,Pacific,N,"17,062","17,307","20,733","3,290",,"4,789",,,663,"4,749",,"10,532",,594,"2,582",114,,1.04,,,"2,249",,106,"2,356",152,348,"2,159","20,733","17,443",0.25,0.27
IID,12Aug2022,Pacific,N,"17,062","17,205","19,579","2,240",,"4,305",,,630,"4,636",,"10,008",,639,"2,025",-424,,1.04,,,"2,024",,102,"2,126",333,325,"2,134","19,579","17,339",0.24,0.27
IID,13Aug2022,Pacific,N,"15,899","15,596","19,235","3,491",,"4,201",,,584,"4,478",,"9,972",,499,"3,386",-394,,1.03,,,"1,970",,100,"2,070",274,404,"1,940","19,235","15,744",0.24,0.27
IID,14Aug2022,Pacific,N,"16,131","16,193","19,812","3,488",,"4,351",,,525,"5,028",,"9,908",,821,"3,027",-360,,1.04,,,"2,043",,103,"2,146",317,437,"2,025","19,812","16,324",0.24,0.27
IID,15Aug2022,Pacific,N,"17,344","17,043","19,680","2,506",,"4,302",,,559,"4,935",,"9,884",,345,"2,630",-469,,1.04,,,"2,020",,102,"2,123",372,354,"2,141","19,680","17,174",0.24,0.27
IID,16Aug2022,Pacific,N,"17,330","17,853","20,603","2,618",,"4,572",,,626,"5,093",,"10,312",,464,"2,472",-318,,1.03,,,"2,145",,107,"2,252",357,377,"2,233","20,603","17,985",0.24,0.27
IID,17Aug2022,Pacific,N,"17,323","17,997","20,535","2,413",,"4,608",,,664,"5,087",,"10,176",,779,"2,067",-433,,1.03,,,"2,163",,106,"2,269",352,365,"2,256","20,535","18,122",0.24,0.27
IID,18Aug2022,Pacific,N,"16,845","18,145","21,381","3,107",,"5,162",,,728,"5,078",,"10,413",,"1,077","2,626",-596,,1.04,,,"2,426",,108,"2,534",392,497,"2,428","21,381","18,274",0.26,0.29
IID,19Aug2022,Pacific,N,"16,289","17,409","21,656","4,117",,"5,581",,,664,"5,014",,"10,397",,"1,135","3,472",-490,,1.04,,,"2,626",,107,"2,733",303,601,"2,435","21,656","17,539",0.28,0.31
IID,20Aug2022,Pacific,N,"14,796","16,404","21,307","4,770",,"4,976",,,606,"5,197",,"10,528",,839,"4,081",-150,,1.04,,,"2,345",,109,"2,454",124,514,"2,063","21,307","16,537",0.25,0.28
IID,21Aug2022,Pacific,N,"14,762","16,392","21,266","4,784",,"5,101",,,537,"4,901",,"10,727",,"1,029","3,455",300,,1.04,,,"2,401",,108,"2,509",128,569,"2,068","21,266","16,482",0.26,0.28
IID,22Aug2022,Pacific,N,"16,182","16,826","20,783","3,820",,"5,151",,,525,"4,531",,"10,576",,865,"3,210",-255,,1.04,,,"2,423",,104,"2,527",164,491,"2,201","20,783","16,963",0.27,0.29
IID,23Aug2022,Pacific,N,"17,219","17,571","21,698","4,000",,"5,378",,,551,"5,116",,"10,653",,356,"3,421",223,,1.04,,,"2,528",,109,"2,637",174,504,"2,307","21,698","17,698",0.27,0.29
IID,24Aug2022,Pacific,N,"16,429","17,428","21,736","4,174",,"5,825",,,606,"4,447",,"10,858",,451,"3,498",225,,1.04,,,"2,738",,106,"2,844",28,491,"2,380","21,736","17,562",0.29,0.30
IID,25Aug2022,Pacific,N,"16,485","17,030","21,993","4,827",,"5,573",,,604,"4,743",,"11,073",,319,"4,353",155,,1.04,,,"2,619",,109,"2,729",126,588,"2,267","21,993","17,166",0.27,0.29
IID,26Aug2022,Pacific,N,"17,156","17,687","22,114","4,289",,"5,367",,,567,"5,113",,"11,067",,552,"3,500",237,,1.04,,,"2,528",,112,"2,639",199,548,"2,290","22,114","17,825",0.26,0.28
IID,27Aug2022,Pacific,N,"16,031","16,540","21,431","4,762",,"4,962",,,553,"5,105",,"10,637",,701,"3,809",252,,1.04,,,"2,342",,109,"2,451",193,582,"2,063","21,257","16,495",0.25,0.28
