BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,08Dec2020,Eastern,N,"1,334","1,102",0,"-1,102",,0,,,,,,,,"-1,102",,,,,0,,,0,259,0,259,0,"1,102",,0.52
HST,09Dec2020,Eastern,N,"1,198","1,108",0,"-1,108",,0,,,,,,,,"-1,108",,,,,0,,,0,264,0,264,0,"1,108",,0.53
HST,10Dec2020,Eastern,N,"1,198","1,138",0,"-1,138",,0,,,,,,,,"-1,138",,,,,0,,,0,269,0,269,0,"1,138",,0.52
HST,11Dec2020,Eastern,N,"1,212","1,133",0,"-1,133",,0,,,,,,,,"-1,133",,,,,0,,,0,273,0,273,0,"1,133",,0.53
HST,12Dec2020,Eastern,N,"1,222","1,204",0,"-1,204",,0,,,,,,,,"-1,204",,,,,0,,,0,302,0,302,0,"1,204",,0.55
HST,13Dec2020,Eastern,N,"1,625","1,347",0,"-1,347",,0,,,,,,,,"-1,347",,,,,0,,,0,336,0,336,0,"1,347",,0.55
HST,14Dec2020,Eastern,N,"1,617","1,431",0,"-1,431",,0,,,,,,,,"-1,431",,,,,0,,,0,373,0,373,0,"1,431",,0.57
HST,15Dec2020,Eastern,N,"1,503","1,446",0,"-1,446",,0,,,,,,,,"-1,446",,,,,0,,,0,377,0,377,0,"1,446",,0.58
HST,16Dec2020,Eastern,N,"1,521","1,438",0,"-1,438",,0,,,,,,,,"-1,438",,,,,0,,,0,390,0,390,0,"1,438",,0.60
HST,17Dec2020,Eastern,N,"1,509","1,477",0,"-1,477",,0,,,,,,,,"-1,477",,,,,0,,,0,421,0,421,0,"1,477",,0.63
HST,18Dec2020,Eastern,N,"1,448","1,158",0,"-1,158",,0,,,,,,,,"-1,158",,,,,0,,,0,312,0,312,0,"1,158",,0.59
HST,19Dec2020,Eastern,N,"1,291","1,144",0,"-1,144",,0,,,,,,,,"-1,144",,,,,0,,,0,305,0,305,0,"1,144",,0.59
HST,20Dec2020,Eastern,N,"1,256","1,305",0,"-1,305",,0,,,,,,,,"-1,305",,,,,0,,,0,339,0,339,0,"1,305",,0.57
HST,21Dec2020,Eastern,N,"1,502","1,347",0,"-1,347",,0,,,,,,,,"-1,347",,,,,0,,,0,335,0,335,0,"1,347",,0.55
HST,22Dec2020,Eastern,N,"1,366","1,183",0,"-1,183",,0,,,,,,,,"-1,183",,,,,0,,,0,292,0,292,0,"1,183",,0.54
HST,23Dec2020,Eastern,N,"1,261","1,223",0,"-1,223",,0,,,,,,,,"-1,223",,,,,0,,,0,305,0,305,0,"1,223",,0.55
HST,24Dec2020,Eastern,N,"1,294","1,461",0,"-1,461",,0,,,,,,,,"-1,461",,,,,0,,,0,374,0,374,0,"1,461",,0.56
HST,25Dec2020,Eastern,N,"1,529","1,090",0,"-1,090",,0,,,,,,,,"-1,090",,,,,0,,,0,269,0,269,0,"1,090",,0.54
HST,26Dec2020,Eastern,N,"1,096","1,064",0,"-1,064",,0,,,,,,,,"-1,064",,,,,0,,,0,280,0,280,0,"1,064",,0.58
HST,27Dec2020,Eastern,N,"1,134","1,095",0,"-1,095",,0,,,,,,,,"-1,095",,,,,0,,,0,279,0,279,0,"1,095",,0.56
HST,28Dec2020,Eastern,N,"1,173","1,146",0,"-1,146",,0,,,,,,,,"-1,146",,,,,0,,,0,276,0,276,0,"1,146",,0.53
HST,29Dec2020,Eastern,N,"1,274","1,172",0,"-1,172",,0,,,,,,,,"-1,172",,,,,0,,,0,282,0,282,0,"1,172",,0.53
HST,30Dec2020,Eastern,N,"1,266","1,252",0,"-1,252",,0,,,,,,,,"-1,252",,,,,0,,,0,302,0,302,0,"1,252",,0.53
HST,31Dec2020,Eastern,N,"1,352","1,441",0,"-1,441",,0,,,,,,,,"-1,441",,,,,0,,,0,363,0,363,0,"1,441",,0.55
HST,01Jan2021,Eastern,N,"1,660","1,446",0,"-1,446",,0,,,,,,,,"-1,446",,,,,0,,,0,365,0,365,0,"1,446",,0.56
HST,02Jan2021,Eastern,N,"1,481","1,430",0,"-1,430",,0,,,,,,,,"-1,430",,,,,0,,,0,356,0,356,0,"1,430",,0.55
HST,03Jan2021,Eastern,N,"1,477","1,391",0,"-1,391",,0,,,,,,,,"-1,391",,,,,0,,,0,332,0,332,0,"1,391",,0.53
HST,04Jan2021,Eastern,N,"1,409","1,265",0,"-1,265",,0,,,,,,,,"-1,265",,,,,0,,,0,290,0,290,0,"1,265",,0.51
HST,05Jan2021,Eastern,N,"1,153","1,124",0,"-1,124",,0,,,,,,,,"-1,124",,,,,0,,,0,258,0,258,0,"1,124",,0.51
HST,06Jan2021,Eastern,N,"1,126","1,112",0,"-1,112",,0,,,,,,,,"-1,112",,,,,0,,,0,260,0,260,0,"1,112",,0.51
HST,07Jan2021,Eastern,N,"1,177","1,163",0,"-1,163",,0,,,,,,,,"-1,163",,,,,0,,,0,289,0,289,0,"1,163",,0.55
HST,08Jan2021,Eastern,N,"1,213","1,167",0,"-1,167",,0,,,,,,,,"-1,167",,,,,0,,,0,283,0,283,0,"1,167",,0.54
HST,09Jan2021,Eastern,N,"1,193","1,062",0,"-1,062",,0,,,,,,,,"-1,062",,,,,0,,,0,263,0,263,0,"1,062",,0.55
HST,10Jan2021,Eastern,N,"1,137","1,079",0,"-1,079",,0,,,,,,,,"-1,079",,,,,0,,,0,274,0,274,0,"1,079",,0.56
HST,11Jan2021,Eastern,N,"1,149","1,164",0,"-1,164",,0,,,,,,,,"-1,164",,,,,0,,,0,294,0,294,0,"1,164",,0.56
HST,12Jan2021,Eastern,N,"1,250","1,208",0,"-1,208",,0,,,,,,,,"-1,208",,,,,0,,,0,306,0,306,0,"1,208",,0.56
HST,13Jan2021,Eastern,N,"1,296","1,181",0,"-1,181",,0,,,,,,,,"-1,181",,,,,0,,,0,314,0,314,0,"1,181",,0.59
HST,14Jan2021,Eastern,N,"1,243","1,103",0,"-1,103",,0,,,,,,,,"-1,103",,,,,0,,,0,303,0,303,0,"1,103",,0.61
HST,15Jan2021,Eastern,N,"1,371","1,197",0,"-1,197",,0,,,,,,,,"-1,197",,,,,0,,,0,308,0,308,0,"1,197",,0.57
HST,16Jan2021,Eastern,N,"1,127","1,115",0,"-1,115",,0,,,,,,,,"-1,115",,,,,0,,,0,274,0,274,0,"1,115",,0.54
HST,17Jan2021,Eastern,N,"1,142","1,057",0,"-1,057",,0,,,,,,,,"-1,057",,,,,0,,,0,275,0,275,0,"1,057",,0.57
HST,18Jan2021,Eastern,N,"1,203","1,118",0,"-1,118",,0,,,,,,,,"-1,118",,,,,0,,,0,278,0,278,0,"1,118",,0.55
HST,19Jan2021,Eastern,N,"1,187","1,122",0,"-1,122",,0,,,,,,,,"-1,122",,,,,0,,,0,277,0,277,0,"1,122",,0.54
