BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,25Apr2020,Central,Y,,,"3,551","3,541","3,551",,,,,,,,,"3,658",-117,2.23,,,"3,597",,,,"3,597",113,"3,701",,"3,551",10,2.23,
GLHB,26Apr2020,Central,Y,,,"3,357","3,341","3,357",,,,,,,,,"3,392",-51,2.24,,,"3,411",,,,"3,411",50,"3,446",,"3,357",16,2.24,
GLHB,27Apr2020,Central,Y,,,"6,284","6,266","6,284",,,,,,,,,"4,103","2,163",2.24,,,"6,383",,,,"6,383",34,"6,399",,"6,284",18,2.24,
GLHB,28Apr2020,Central,Y,,,"6,104","6,081","6,104",,,,,,,,,"3,894","2,187",2.24,,,"6,199",,,,"6,199",34,"6,210",,"6,104",23,2.24,
GLHB,29Apr2020,Central,Y,,,"5,422","5,402","5,422",,,,,,,,,"3,742","1,660",2.24,,,"5,512",,,,"5,512",29,"5,521",,"5,422",20,2.24,
GLHB,30Apr2020,Central,Y,,,"4,718","4,703","4,718",,,,,,,,,"3,291","1,412",2.24,,,"4,791",,,,"4,791",29,"4,804",,"4,718",15,2.24,
GLHB,01May2020,Central,Y,,,"4,218","4,207","4,218",,,,,,,,,"2,507","1,700",2.24,,,"4,283",,,,"4,283",0,"4,272",,"4,218",11,2.24,
GLHB,02May2020,Central,Y,,,"4,831","4,813","4,831",,,,,,,,,"3,057","1,756",2.24,,,"4,899",,,,"4,899",0,"4,881",,"4,831",18,2.24,
GLHB,03May2020,Central,Y,,,"3,896","3,876","3,896",,,,,,,,,"3,300",576,2.24,,,"3,954",,,,"3,954",22,"3,956",,"3,896",20,2.24,
GLHB,04May2020,Central,Y,,,"5,634","5,603","5,634",,,,,,,,,"3,952","1,651",2.24,,,"5,729",,,,"5,729",13,"5,711",,"5,634",31,2.24,
GLHB,05May2020,Central,Y,,,"6,028","5,996","6,028",,,,,,,,,"4,216","1,780",2.24,,,"6,129",,,,"6,129",38,"6,135",,"6,028",32,2.24,
GLHB,06May2020,Central,Y,,,"5,991","5,965","5,991",,,,,,,,,"4,241","1,724",2.24,,,"6,089",,,,"6,089",61,"6,124",,"5,991",26,2.24,
GLHB,07May2020,Central,Y,,,"5,713","5,690","5,713",,,,,,,,,"4,322","1,368",2.25,,,"5,818",,,,"5,818",68,"5,863",,"5,713",23,2.25,
GLHB,08May2020,Central,Y,,,"4,972","4,953","4,972",,,,,,,,,"3,801","1,152",2.24,,,"5,061",,,,"5,061",42,"5,083",,"4,972",19,2.24,
GLHB,09May2020,Central,Y,,,"5,709","5,691","5,709",,,,,,,,,"3,708","1,983",2.24,,,"5,807",,,,"5,807",0,"5,789",,"5,709",18,2.24,
GLHB,10May2020,Central,Y,,,"4,192","4,169","4,192",,,,,,,,,"3,643",526,2.24,,,"4,257",,,,"4,257",65,"4,300",,"4,192",23,2.24,
GLHB,11May2020,Central,Y,,,"6,178","6,158","6,178",,,,,,,,,"3,714","2,444",2.24,,,"6,279",,,,"6,279",0,"6,258",,"6,178",20,2.24,
GLHB,12May2020,Central,Y,,,"5,462","5,449","5,462",,,,,,,,,"2,891","2,558",2.24,,,"5,540",,,,"5,540",7,"5,535",,"5,462",13,2.24,
GLHB,13May2020,Central,Y,,,"5,599","5,585","5,599",,,,,,,,,"3,168","2,417",2.24,,,"5,685",,,,"5,685",0,"5,670",,"5,599",14,2.24,
GLHB,14May2020,Central,Y,,,"5,729","5,708","5,729",,,,,,,,,"3,302","2,406",2.23,,,"5,807",,,,"5,807",9,"5,795",,"5,729",21,2.23,
GLHB,15May2020,Central,Y,,,"5,236","5,211","5,236",,,,,,,,,"3,733","1,478",2.24,,,"5,318",,,,"5,318",21,"5,314",,"5,236",25,2.24,
GLHB,16May2020,Central,Y,,,"4,576","4,560","4,576",,,,,,,,,"4,094",466,2.24,,,"4,649",,,,"4,649",92,"4,726",,"4,576",16,2.24,
GLHB,17May2020,Central,Y,,,"5,646","5,623","5,646",,,,,,,,,"4,218","1,405",2.24,,,"5,741",,,,"5,741",54,"5,772",,"5,646",23,2.24,
GLHB,18May2020,Central,Y,,,"4,675","4,660","4,675",,,,,,,,,"3,795",865,2.24,,,"4,749",,,,"4,749",14,"4,748",,"4,675",15,2.24,
GLHB,19May2020,Central,Y,,,"4,794","4,783","4,794",,,,,,,,,"3,574","1,209",2.23,,,"4,857",,,,"4,857",24,"4,870",,"4,794",11,2.23,
GLHB,20May2020,Central,Y,,,"5,006","4,997","5,006",,,,,,,,,"3,497","1,500",2.24,,,"5,081",,,,"5,081",12,"5,083",,"5,006",9,2.24,
GLHB,21May2020,Central,Y,,,"5,367","5,352","5,367",,,,,,,,,"3,769","1,583",2.24,,,"5,450",,,,"5,450",16,"5,451",,"5,367",15,2.24,
GLHB,22May2020,Central,Y,,,"5,395","5,368","5,395",,,,,,,,,"4,509",859,2.24,,,"5,470",,,,"5,470",121,"5,565",,"5,395",27,2.24,
GLHB,23May2020,Central,Y,,,"4,580","4,554","4,580",,,,,,,,,"4,376",178,2.24,,,"4,659",,,,"4,659",190,"4,825",,"4,580",26,2.24,
GLHB,24May2020,Central,Y,,,"5,121","5,090","5,121",,,,,,,,,"4,782",308,2.24,,,"5,214",,,,"5,214",155,"5,338",,"5,121",31,2.24,
GLHB,25May2020,Central,Y,,,"5,385","5,367","5,385",,,,,,,,,"4,222","1,145",2.25,,,"5,484",,,,"5,484",53,"5,519",,"5,385",18,2.25,
GLHB,26May2020,Central,Y,,,"5,665","5,654","5,665",,,,,,,,,"3,812","1,842",2.24,,,"5,762",,,,"5,762",3,"5,755",,"5,665",11,2.24,
GLHB,27May2020,Central,Y,,,"5,681","5,667","5,681",,,,,,,,,"3,707","1,960",2.24,,,"5,775",,,,"5,775",0,"5,761",,"5,681",14,2.24,
GLHB,28May2020,Central,Y,,,"5,523","5,512","5,523",,,,,,,,,"4,075","1,437",2.24,,,"5,623",,,,"5,623",8,"5,619",,"5,523",11,2.24,
GLHB,29May2020,Central,Y,,,"5,435","5,417","5,435",,,,,,,,,"4,112","1,305",2.24,,,"5,520",,,,"5,520",37,"5,539",,"5,435",18,2.24,
