BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,29Aug2019,Arizona,N,"45,939","46,060","49,286","3,226","21,773","16,995",,,495,"1,694","8,189",140,,"-4,635","9,897","-5,770","-2,507",,736,"3,800","1,705","1,969",62,"1,386",634,"1,761",586,"31,390","7,871",2.32,0.91,,"22,921","6,994",,66,"29,982","5,574","9,487","26,069","49,286","46,060",1.34,1.25
PNM,30Aug2019,Arizona,N,"46,147","45,919","46,521",602,"19,910","17,747",,,491,"1,896","6,320",157,,"-7,034","10,657","-3,632","-2,598",,540,"1,882",787,"1,912",61,"1,330",642,"1,903",580,"31,421","7,836",2.32,0.91,,"20,966","7,310",,56,"28,331","5,936","8,461","25,807","46,521","45,919",1.34,1.24
PNM,31Aug2019,Arizona,N,"44,614","44,529","39,470","-5,059","14,928","18,176",,,498,"1,816","3,882",170,,"-10,171","11,149","-2,698","-2,966",,143,193,-709,"1,961",57,"1,234",642,"1,771",551,"30,332","7,822",2.32,0.91,,"15,708","7,481",,40,"23,229","7,472","7,008","23,693","39,470","44,529",1.30,1.17
PNM,01Sep2019,Arizona,N,"43,369","43,521","35,990","-7,531","13,840","17,333",,,492,"1,731","2,427",167,,"-8,510","10,000","-4,330","-3,147",,155,-324,"-1,375","1,936",59,"1,201",633,"1,815",560,"29,493","7,786",2.32,0.91,,"14,554","7,136",,30,"21,720","8,082","6,053","23,748","35,990","43,521",1.33,1.20
PNM,02Sep2019,Arizona,N,"43,794","43,988","40,402","-3,586","18,624","16,655",,,488,"1,893","2,576",166,,"-5,454","8,977","-6,335","-3,090",,149,"2,576",-409,"1,900",60,"1,219",634,"1,818",566,"29,872","7,867",2.32,0.91,,"19,607","6,862",,32,"26,501","7,184","7,472","26,212","40,402","43,988",1.45,1.31
PNM,03Sep2019,Arizona,N,"45,650","45,895","46,365",470,"21,809","16,756",,,378,"1,821","5,440",161,,"-3,589","9,624","-7,966","-3,366",,183,"5,397",187,"1,825",63,"1,366",625,"1,863",624,"31,468","7,961",2.32,0.91,,"22,981","6,895",,49,"29,924","7,585","10,216","27,294","46,365","45,895",1.42,1.31
PNM,04Sep2019,Arizona,N,"46,312","45,302","41,961","-3,341","15,681","20,451",,,348,"1,908","3,420",153,,"-7,008","11,419","-3,385","-3,112",,69,"2,124","-3,448","1,890",64,"1,374",619,"1,771",649,"31,006","7,673",2.32,0.91,,"16,521","8,411",,37,"24,968","8,202","8,011","25,159","41,961","45,302",1.31,1.22
PNM,05Sep2019,Arizona,N,"45,749","44,900","37,991","-6,909","11,755","20,794",,,355,"1,975","2,955",157,,"-7,250","11,015","-5,174","-3,133",,-170,"2,394","-4,591","1,984",64,"1,362",636,"1,432",652,"30,275","7,907",2.32,0.91,,"12,392","8,551",,34,"20,977","9,925","7,282","23,620","37,991","44,900",1.22,1.16
PNM,06Sep2019,Arizona,N,"45,425","45,441","40,642","-4,799","12,342","21,731",,,362,"1,949","4,092",166,,"-6,754","11,985","-4,383","-3,724",,168,"3,924","-6,015","1,904",63,"1,371",644,"1,405",647,"30,760","8,056",2.32,0.91,,"12,993","8,924",,41,"21,959","10,303","8,506","23,755","40,642","45,441",1.19,1.15
PNM,07Sep2019,Arizona,N,"43,446","43,049","41,072","-1,977","12,390","22,111",,,384,"1,535","4,510",142,,"-5,644","12,531","-5,263","-3,131",,183,"6,184","-6,837","1,877",51,"1,281",609,"1,243",572,"29,256","7,602",2.32,0.91,,"13,029","9,105",,41,"22,176","10,767","10,146","22,796","41,072","43,049",1.19,1.17
PNM,08Sep2019,Arizona,N,"42,178","41,814","39,085","-2,729","12,261","20,215",,,384,"1,571","4,555",99,,"-6,214","12,262","-7,028","-2,723",,993,"5,007","-5,026","1,920",51,"1,225",589,"1,203",558,"28,306","7,394",2.32,0.91,,"12,903","8,338",,41,"21,283","9,889","9,726","21,445","39,085","41,814",1.20,1.13
PNM,09Sep2019,Arizona,N,"42,955","43,571","41,381","-2,190","11,841","19,195",,,384,"1,827","8,025",109,,"-5,325","12,136","-8,139","-3,009",,14,"6,154","-4,021","1,961",61,"1,364",585,"1,562",585,"29,549","7,535",2.33,0.91,,"12,501","7,925",,65,"20,491","9,961","9,307","21,145","41,381","43,571",1.09,1.07
PNM,10Sep2019,Arizona,N,"42,474","42,842","48,349","5,507","22,588","17,912",,,384,"1,464","5,892",109,,"-1,636","11,636","-9,769","-3,019",,149,"6,787","1,359","1,920",58,"1,362",601,"1,875",572,"29,135","7,279",2.33,0.91,,"23,842","7,396",,49,"31,287","6,715","12,375","25,627","48,349","42,842",1.43,1.32
PNM,11Sep2019,Arizona,N,"42,280","42,621","47,748","5,127","20,682","17,271",,,369,"1,907","7,410",109,,-725,"11,610","-8,638","-3,271",,51,"5,839",261,"1,862",50,"1,366",602,"1,835",557,"28,997","7,329",2.33,0.91,,"21,843","7,135",,61,"29,039","6,850","11,528","24,360","47,748","42,621",1.34,1.26
PNM,12Sep2019,Arizona,N,"41,174","40,788","36,231","-4,557","10,477","17,132",,,359,"2,127","6,055",81,,"-5,021","10,156","-6,026","-3,311",,150,"4,762","-5,267","1,947",48,"1,308",557,"1,657",492,"27,243","7,236",2.33,0.91,,"11,063","7,071",,54,"18,189","9,918","7,759","20,347","36,231","40,788",1.11,1.10
PNM,13Sep2019,Arizona,N,"41,112","40,995","39,799","-1,196","14,916","15,885",,,356,"1,829","6,693",120,,"-4,977","9,733","-4,651","-3,548",,197,"5,369","-3,319","1,891",48,"1,311",575,"1,815",462,"27,605","7,112",2.32,0.91,,"15,719","6,549",,56,"22,325","8,102","8,528","21,898","39,799","40,995",1.24,1.18
PNM,14Sep2019,Arizona,N,"40,026","39,621","42,818","3,197","22,528","14,623",,,360,"1,184","3,996",127,,"-3,282","9,677","-7,955","-3,280",,286,"8,060",-309,"1,827",48,"1,199",582,"1,750",465,"26,747","6,880",2.32,0.91,,"23,735","6,040",,36,"29,810","7,062","11,835","25,038","42,818","39,621",1.53,1.39
PNM,15Sep2019,Arizona,N,"38,734","35,677","40,923","5,246","22,789","13,762",,,359,635,"3,225",153,,"-1,945","9,145","-8,758","-2,871",,7,"7,674","1,994","1,693",48,"1,129",589,"1,703",444,"23,454","6,563",2.32,0.91,,"23,987","5,675",,27,"29,690","6,179","12,635","23,233","40,923","35,677",1.60,1.44
PNM,16Sep2019,Arizona,N,"39,828","38,470","42,301","3,831","20,420","13,666",,,343,"1,609","6,050",213,,-161,"7,779","-10,263","-2,830",,173,"7,996","1,137","1,808",53,"1,280",616,"1,678",487,"25,644","6,827",2.32,0.91,,"21,525","5,637",,52,"27,213","6,412","10,763","22,863","42,301","38,470",1.42,1.31
PNM,17Sep2019,Arizona,N,"39,998","39,209","45,668","6,459","22,405","15,946",,,331,"1,865","4,918",203,,545,"7,853","-8,991","-2,535",,229,"7,084","2,274","1,949",58,"1,307",588,"1,680",443,"26,249","6,784",2.32,0.91,,"23,623","6,585",,46,"30,254","5,508","11,485","24,276","45,668","39,209",1.46,1.36
PNM,18Sep2019,Arizona,N,"40,404","39,152","41,980","2,828","21,887","14,290",,,304,"1,980","3,348",171,,"-2,250","7,869","-4,641","-2,814",,-15,"6,701","-2,022","1,687",62,"1,291",582,"1,723",469,"26,391","6,793",2.32,0.91,,"23,022","5,889",,36,"28,947","5,937","9,763","25,122","41,980","39,152",1.52,1.41
PNM,19Sep2019,Arizona,N,"40,092","39,745","43,992","4,247","23,336","13,466",,,360,"1,740","4,901",189,,737,"7,349","-8,236","-3,144",,287,"6,641",613,"1,949",59,"1,277",583,"1,790",479,"26,546","6,925",2.32,0.91,,"24,524","5,551",,45,"30,120","5,734","10,467","25,387","43,992","39,745",1.51,1.41
PNM,20Sep2019,Arizona,N,"39,408","39,322","45,006","5,684","22,375","12,706",,,360,"1,949","7,429",187,,256,"7,058","-5,141","-3,034",,377,"5,772",396,"1,958",58,"1,259",587,"1,790",442,"26,333","6,726",2.32,0.91,,"23,513","5,252",,62,"28,827","4,371","9,282","23,916","45,006","39,322",1.41,1.34
PNM,21Sep2019,Arizona,N,"38,036","36,858","44,456","7,598","21,699","13,205",,,360,"1,826","7,168",198,,"2,720","7,211","-7,996","-2,820",,377,"6,301","1,805","1,921",48,"1,124",559,"1,727",408,"24,422","6,491",2.32,0.91,,"22,826","5,465",,60,"28,351","5,104","11,214","22,241","44,456","36,858",1.41,1.33
PNM,22Sep2019,Arizona,N,"36,774","35,507","44,459","8,952","22,540","14,836",,,360,"1,973","4,569",181,,"2,526","7,529","-4,150","-3,095",,228,"5,656",258,"1,813",49,"1,101",559,"1,729",438,"23,242","6,492",2.32,0.91,,"23,700","6,121",,44,"29,865","4,596","11,189","23,273","44,459","35,507",1.48,1.44
PNM,23Sep2019,Arizona,N,"36,691","35,820","45,946","10,126","22,752","16,147",,,339,"1,680","4,837",191,,"2,658","8,143","-5,786","-3,168",,288,"5,417","2,574","1,510",63,"1,230",617,"1,705",484,"23,344","6,795",2.32,0.91,,"23,934","6,649",,44,"30,627","4,834","12,341","23,120","45,946","35,820",1.47,1.42
PNM,24Sep2019,Arizona,N,"38,107","36,574","45,666","9,092","22,339","14,713",,,336,"1,633","6,411",234,,"-1,759","7,600","-4,688","-2,468",,198,"7,415","2,794","1,898",60,"1,238",578,"1,671",470,"23,917","6,588",2.32,0.91,,"23,520","6,066",,54,"29,640","4,318","11,547","22,412","45,666","36,574",1.43,1.35
PNM,25Sep2019,Arizona,N,"38,344","37,616","45,212","7,596","22,613","13,543",,,346,"1,915","6,577",218,,"-5,598","7,921","-5,343","-1,833",,260,"11,496",693,"1,755",64,"1,276",575,"1,693",466,"25,005","6,631",2.32,0.91,,"23,793","5,581",,57,"29,430","5,512","12,509","22,433","45,212","37,616",1.44,1.31
PNM,26Sep2019,Arizona,N,"39,171","38,567","42,812","4,245","21,970","13,628",,,355,"1,785","4,864",210,,"-6,338","7,647","-4,143","-2,511",,317,"12,529","-3,256","1,913",66,"1,283",589,"1,587",451,"25,604","6,845",2.32,0.91,,"23,151","5,627",,45,"28,823","7,167","12,532","23,458","42,812","38,567",1.48,1.34
PNM,27Sep2019,Arizona,N,"37,360","37,546","44,774","7,228","22,282","13,389",,,361,"1,748","6,782",212,,"-4,824","7,379","-7,418","-2,120",,378,"12,744","1,089","1,977",65,"1,229",587,"1,770",440,"24,700","6,621",2.32,0.91,,"23,485","5,532",,57,"29,073","5,897","12,901","22,070","44,774","37,546",1.43,1.30
PNM,28Sep2019,Arizona,N,"36,643","36,148","42,797","6,649","22,204","13,593",,,339,"1,912","4,544",205,,"-4,794","7,161","-5,326","-2,139",,377,"12,624","-1,254","1,997",54,"1,135",564,"1,698",408,"23,683","6,435",2.33,0.91,,"23,422","5,620",,44,"29,085","5,573","12,505","22,153","42,797","36,148",1.50,1.35
PNM,29Sep2019,Arizona,N,"37,037","36,520","43,354","6,834","22,337","11,400",,,336,"1,971","7,117",193,,"-5,871","7,539","-7,386","-2,057",,139,"14,309",161,"1,959",61,"1,127",555,"1,675",394,"24,045","6,545",2.33,0.91,,"23,615","4,723",,60,"28,399","6,165","13,400","21,163","43,354","36,520",1.44,1.28
PNM,30Sep2019,Arizona,N,"37,473","39,424","41,669","2,245","22,414","10,686",,,296,"1,805","6,267",201,,"-7,806","7,681","-7,539","-2,547",,129,"9,211","3,116","1,975",66,"1,300",574,"1,787",411,"26,258","6,792",2.33,0.91,,"23,712","4,413",,54,"28,178","6,538","11,905","22,811","41,669","39,424",1.49,1.28
PNM,01Oct2019,Arizona,N,"39,002","38,558","41,639","3,081","22,277","11,069",,,274,923,"6,894",202,,"-10,227","10,521","-3,670","-2,475",,257,"5,713","2,962","2,013",66,"1,315",603,"1,800",426,"25,598","6,567",2.33,0.91,,"23,539","4,564",,52,"28,155","5,990","11,545","22,600","41,639","38,558",1.49,1.29
PNM,02Oct2019,Arizona,N,"38,357","37,237","35,815","-1,422","21,010","7,883",,,244,"1,630","4,838",210,,"-10,863","9,619","-3,145","-2,547",,886,"2,812","1,816","2,024",68,"1,258",575,"1,777",449,"24,426","6,485",2.33,0.91,,"22,199","3,246",,43,"25,488","6,148","9,187","22,449","35,815","37,237",1.57,1.33
PNM,03Oct2019,Arizona,N,"36,756","36,609","33,281","-3,328","15,594","11,043",,,305,"1,474","4,662",203,,"-9,996","9,547","-3,060","-2,679",,337,"2,038",485,"2,059",67,"1,266",595,"1,601",480,"23,892","6,336",2.33,0.91,,"16,455","4,554",,42,"21,051","6,214","7,340","19,925","33,281","36,609",1.39,1.20
PNM,04Oct2019,Arizona,N,"36,174","35,713","28,000","-7,713","12,493","9,554",,,326,694,"4,762",171,,"-10,604","10,069","-3,751","-3,381",,225,"2,342","-2,613","1,859",67,"1,234",657,"1,743",454,"23,267","6,332",2.32,0.91,,"13,161","3,943",,37,"17,142","7,723","6,538","18,327","28,000","35,713",1.35,1.13
PNM,05Oct2019,Arizona,N,"35,285","34,584","35,209",625,"13,449","11,124",,,276,"1,885","8,272",203,,"-5,365","10,290","-3,375","-2,998",,184,"3,233","-1,344","1,956",55,"1,109",570,"1,659",450,"22,510","6,136",2.32,0.91,,"14,129","4,592",,67,"18,787","5,710","7,149","17,348","35,209","34,584",1.18,1.11
PNM,06Oct2019,Arizona,N,"34,173","33,929","38,109","4,180","14,325","12,523",,,242,"1,886","8,924",209,,"-2,762","10,859","-6,281","-2,659",,365,"3,775",883,"1,863",63,"1,083",580,"1,643",431,"22,031","6,101",2.31,0.91,,"15,038","5,168",,71,"20,277","5,295","8,319","17,253","38,109","33,929",1.17,1.12
PNM,07Oct2019,Arizona,N,"34,880","35,067","34,472",-595,"14,835","12,183",,,254,"1,769","5,240",191,,"-6,112","9,868","-3,408","-3,119",,285,575,"1,316","1,936",68,"1,198",624,"1,727",449,"22,563","6,379",2.32,0.91,,"15,602","5,021",,47,"20,670","5,588","7,044","19,213","34,472","35,067",1.32,1.21
PNM,08Oct2019,Arizona,N,"35,509","35,559","42,548","6,989","20,303","11,757",,,288,"1,350","8,647",203,,362,"10,815","-8,514","-2,848",,-680,"2,377","5,477","1,853",67,"1,222",623,"1,728",456,"23,021","6,382",2.32,0.91,,"21,406","4,856",,66,"26,328","6,051","11,697","20,682","42,548","35,559",1.36,1.28
PNM,09Oct2019,Arizona,N,"36,108","35,898","46,288","10,390","22,968","9,571",,,288,"1,973","11,294",194,,"3,792","9,701","-8,647","-2,696",,-941,"1,152","8,029","1,921",68,"1,230",611,"1,748",475,"23,352","6,227",2.32,0.91,,"24,197","3,955",,86,"28,238","5,629","13,210","20,657","46,288","35,898",1.34,1.27
PNM,10Oct2019,Arizona,N,"34,992","35,461","45,832","10,371","23,033","9,390",,,303,"1,932","10,974",200,,"5,282","8,459","-9,493","-2,669",,-499,-413,"9,704","2,026",68,"1,204",660,"1,562",479,"22,796","6,219",2.32,0.91,,"24,248","3,874",,84,"28,206","6,157","13,868","20,495","45,832","35,461",1.36,1.27
PNM,11Oct2019,Arizona,N,"35,411","34,916","38,357","3,441","23,025","9,093",,,328,"2,051","3,643",217,,-133,"5,529","-4,211","-3,249",,-34,"-1,395","6,934","2,045",70,"1,140",741,"1,749",491,"21,870","6,558",2.32,0.91,,"24,223","3,746",,39,"28,008","5,436","10,016","23,429","38,357","34,916",1.61,1.48
PNM,12Oct2019,Arizona,N,"34,230","34,294","45,015","10,721","22,431","11,656",,,336,"1,903","8,566",123,,"7,418","7,267","-11,384","-2,429",,-209,"1,449","8,609","2,016",65,"1,034",718,"1,677",470,"21,904","6,148",2.32,0.91,,"23,578","4,808",,69,"28,455","6,469","14,689","20,234","45,015","34,294",1.39,1.30
PNM,13Oct2019,Arizona,N,"33,615","33,650","43,253","9,603","22,726","10,518",,,336,"1,860","7,702",111,,"3,958","7,128","-6,071","-2,515",,-43,-698,"7,844","1,961",70,"1,047",669,"1,662",456,"21,325","6,343",2.32,0.91,,"23,881","4,328",,63,"28,272","5,151","12,340","21,083","43,253","33,650",1.44,1.38
PNM,14Oct2019,Arizona,N,"35,096","35,116","44,678","9,562","23,362","10,703",,,338,"1,838","8,295",142,,"5,492","7,287","-7,395","-2,853",,-164,-349,"7,544","1,661",71,"1,162",659,"1,756",482,"22,561","6,529",2.32,0.91,,"24,604","4,410",,67,"29,081","5,600","13,015","21,666","44,678","35,116",1.43,1.36
PNM,15Oct2019,Arizona,N,"35,316","34,809","42,354","7,545","22,288","11,477",,,308,"1,798","6,265",218,,"3,871","8,765","-9,136","-2,691",,-561,"1,484","5,813","1,397",72,"1,221",650,"1,768",510,"22,545","6,484",2.32,0.91,,"23,470","4,734",,54,"28,257","5,784","12,454","21,587","42,354","34,809",1.47,1.37
PNM,16Oct2019,Arizona,N,"34,935","34,348","40,458","6,110","21,026","12,001",,,288,"1,839","5,102",202,,"2,803","9,029","-6,555","-3,269",,-408,632,"3,878","1,118",72,"1,210",666,"1,773",538,"22,276","6,632",2.32,0.91,,"22,103","4,943",,47,"27,093","5,765","11,231","21,627","40,458","34,348",1.48,1.39
PNM,17Oct2019,Arizona,N,"34,699","34,767","45,495","10,728","21,751","12,465",,,288,"1,756","9,029",206,,"6,512","9,750","-10,445","-3,033",,-233,"2,069","6,108","1,159",72,"1,214",675,"1,586",523,"22,638","6,624",2.32,0.91,,"22,909","5,154",,71,"28,134","6,419","14,363","20,189","45,495","34,767",1.36,1.28
PNM,18Oct2019,Arizona,N,"34,294","34,927","49,343","14,416","23,064","12,874",,,288,"1,440","11,474",203,,"7,289","10,167","-10,150","-2,653",,146,"2,048","7,569","1,702",72,"1,167",697,"1,741",507,"22,558","6,427",2.32,0.91,,"24,305","5,329",,84,"29,718","5,504","15,465","19,758","49,343","34,927",1.33,1.25
PNM,19Oct2019,Arizona,N,"33,130","33,651","43,694","10,043","22,855","10,712",,,288,"1,894","7,729",216,,"2,089","7,109","-6,142","-2,379",,7,"3,631","5,728","1,975",69,"1,052",684,"1,675",507,"21,256","6,370",2.32,0.91,,"24,028","4,412",,64,"28,503","4,464","12,206","20,761","43,694","33,651",1.44,1.36
PNM,20Oct2019,Arizona,N,"33,766","34,375","49,578","15,203","21,619","10,479",,,288,"1,790","15,191",211,,"8,618","7,135","-10,463","-2,221",,-266,"5,185","7,215","1,959",72,"1,039",709,"1,691",506,"21,899","6,496",2.32,0.91,,"22,753","4,330",,110,"27,193","5,538","14,743","17,987","49,578","34,375",1.21,1.15
PNM,21Oct2019,Arizona,N,"35,614","35,300","47,964","12,664","22,236","10,824",,,258,"1,813","12,612",221,,"2,589","7,291","-3,958","-2,711",,165,"3,400","5,888","1,937",73,"1,166",785,"1,677",565,"22,258","6,828",2.32,0.91,,"23,389","4,467",,93,"27,949","3,239","11,076","20,112","47,964","35,300",1.28,1.26
PNM,22Oct2019,Arizona,N,"35,798","34,872","43,339","8,467","22,354","10,811",,,240,"1,867","7,856",211,,343,"7,290","-4,185","-2,739",,106,"2,911","4,741","1,695",72,"1,193",733,"1,607",563,"22,249","6,705",2.32,0.91,,"23,510","4,455",,64,"28,029","3,967","10,337","21,659","43,339","34,872",1.43,1.37
PNM,23Oct2019,Arizona,N,"35,371","35,322","46,306","10,984","22,329","12,452",,,240,"1,732","9,328",225,,"3,172","8,967","-7,236","-2,671",,-73,"3,507","5,318","2,049",72,"1,202",734,"1,688",561,"22,309","6,651",2.32,0.91,,"23,483","5,132",,72,"28,688","4,773","12,631","20,830","46,306","35,322",1.37,1.30
PNM,24Oct2019,Arizona,N,"36,402","36,591","36,730",139,"9,025","14,786",,,240,"1,577","10,881",221,,"4,155","6,774","-10,597","-2,732",,-410,"1,559","1,390","2,079",72,"1,186",866,"1,573",563,"22,996","7,005",2.32,0.91,,"9,494","6,100",,81,"15,674","6,602","6,103","16,174","36,730","36,591",0.94,0.97
PNM,25Oct2019,Arizona,N,"36,903","36,037","31,176","-4,861","11,456","14,362",,,240,"1,876","2,998",244,,-419,"4,197","-3,673","-3,128",,184,"-1,996",-26,"2,042",73,"1,151",818,"1,761",575,"22,461","7,109",2.32,0.91,,"12,051","5,918",,34,"18,003","5,669","3,548","20,124","31,176","36,037",1.27,1.23
PNM,26Oct2019,Arizona,N,"35,010","34,877","40,154","5,277","13,726","12,065",,,278,"1,822","12,028",235,,"5,195","5,722","-8,633","-2,524",,319,"1,676","3,522","2,089",70,"1,076",736,"1,711",527,"21,932","6,706",2.32,0.91,,"14,431","4,975",,90,"19,496","5,086","7,974","16,608","40,154","34,877",1.07,1.05
PNM,27Oct2019,Arizona,N,"34,329","34,208","46,999","12,791","20,582","11,369",,,288,"1,809","12,743",208,,"6,519","6,118","-8,664","-2,266",,75,"3,201","7,808","2,014",72,"1,084",700,"1,710",508,"21,500","6,582",2.32,0.91,,"21,668","4,699",,94,"26,462","5,095","12,950","18,606","46,999","34,208",1.24,1.20
PNM,28Oct2019,Arizona,N,"36,116","36,497","44,030","7,533","23,007","11,782",,,288,"1,406","7,344",203,,-342,"5,425","-2,722","-2,882",,366,"2,035","5,653","2,105",74,"1,179",871,"1,817",548,"22,826","7,038",2.31,0.91,,"24,140","4,850",,58,"29,049","3,250","9,157","23,142","44,030","36,497",1.45,1.40
PNM,29Oct2019,Arizona,N,"36,607","36,706","45,253","8,547","22,277","11,544",,,264,"1,604","9,340",224,,"-1,123","5,718",-913,"-2,510",,281,"1,901","5,193","2,074",78,"1,192",868,"1,771",556,"22,950","7,076",2.31,0.91,,"23,368","4,756",,72,"28,195","2,098","8,055","22,238","45,253","36,706",1.37,1.34
PNM,30Oct2019,Arizona,N,"39,183","37,833","40,100","2,267","20,647","12,013",,,264,"1,583","5,352",241,,"-4,535","4,523",133,"-2,883",,"1,436",-151,"3,744","1,776",81,"1,211",957,"1,835",598,"23,962","7,364",2.32,0.91,,"21,705","4,951",,47,"26,702","3,675","6,558","23,819","40,100","37,833",1.47,1.39
PNM,31Oct2019,Arizona,N,"38,865","38,562","39,397",835,"14,776","12,270",,,264,"1,843","10,000",244,,-274,"4,988","-3,841","-2,554",,-59,"-1,022","3,597","2,065",79,"1,217",905,"1,617",616,"24,306","7,495",2.32,0.91,,"15,535","5,051",,77,"20,664","3,646","5,120","19,190","39,397","38,562",1.16,1.10
PNM,01Nov2019,Arizona,N,"37,485","37,689","39,492","1,803","14,752","11,746",,,264,"1,782","10,702",246,,438,"7,358","-8,897","-2,604",,-493,"2,433","3,568","2,074",76,"1,123",832,"1,829",598,"23,951","7,150",2.32,0.91,,"15,529","4,850",,81,"20,461","3,603","6,829","17,235","39,492","37,689",1.14,1.01
PNM,02Nov2019,Arizona,N,"36,384","36,219","39,705","3,486","20,259","10,655",,,264,"1,715","6,580",232,,"-3,031","7,186","-5,163","-2,769",,-374,"5,132","2,505","2,020",72,"1,066",820,"1,752",555,"22,738","7,146",2.32,0.91,,"21,328","4,392",,55,"25,774","3,916","8,887","20,804","39,705","36,219",1.43,1.27
PNM,03Nov2019,Arizona,N,"35,671","36,054","45,559","9,505","22,557","10,601",,,264,"1,500","10,403",234,,-443,"10,096","-7,760","-3,085",,-756,"7,327","4,126","2,105",72,"1,061",793,"1,749",563,"22,669","7,024",2.32,0.91,,"23,732","4,373",,78,"28,183","3,798","12,139","19,842","45,559","36,054",1.36,1.21
PNM,04Nov2019,Arizona,N,"36,629","36,385","43,820","7,435","21,465","11,069",,,264,"1,642","9,156",224,,"-3,046","10,544","-4,624","-2,994",,"-2,218","6,781","2,992","2,082",75,"1,184",788,"1,805",590,"22,840","7,002",2.32,0.91,,"22,593","4,564",,71,"27,228","5,374","11,670","20,932","43,820","36,385",1.37,1.27
PNM,05Nov2019,Arizona,N,"36,654","35,897","31,540","-4,357","21,833","4,515",,,264,"1,608","3,110",210,,"-7,138","2,624","-4,055","-3,105",,-80,"8,388",-991,"2,021",74,"1,204",775,"1,763",592,"22,312","7,154",2.32,0.91,,"22,956","1,858",,33,"24,846","7,336","7,891","24,290","31,540","35,897",1.74,1.49
PNM,06Nov2019,Arizona,N,"36,526","37,279","30,845","-6,434","18,418","8,587",,,238,447,"2,953",202,,"-7,302","2,042","-6,571","-2,746",,71,"8,880",-808,"2,056",75,"1,200",824,"1,815",612,"23,498","7,273",2.32,0.91,,"19,388","3,537",,24,"22,949","7,870","7,390","23,428","30,845","37,279",1.64,1.39
PNM,07Nov2019,Arizona,N,"37,084","37,360","31,764","-5,596","18,073","7,876",,,288,615,"4,698",214,,"-9,007","1,813",-620,"-2,826",,259,"5,819","-1,034","2,055",73,"1,184",801,"1,626",641,"23,587","7,253",2.32,0.91,,"19,035","3,238",,36,"22,310","6,249","5,381","23,178","31,764","37,360",1.55,1.37
PNM,08Nov2019,Arizona,N,"36,872","35,899","36,291",392,"22,369","6,759",,,316,"1,553","5,080",214,,"-3,775","2,037","-2,699","-2,917",,-224,"7,829",141,"2,052",74,"1,148",794,"1,515",668,"22,691","7,045",2.32,0.91,,"23,579","2,789",,45,"26,413","4,856","7,383","23,887","36,291","35,899",1.60,1.47
PNM,09Nov2019,Arizona,N,"35,751","35,294","36,816","1,522","22,932","6,745",,,364,"1,704","4,864",207,,"-1,239","1,229","-4,907","-2,761",,13,"7,491","1,696","2,104",72,"1,067",762,"1,622",608,"22,110","6,990",2.33,0.91,,"24,199","2,786",,45,"27,030","4,868","8,092","23,806","36,816","35,294",1.62,1.49
PNM,10Nov2019,Arizona,N,"35,589","34,896","41,633","6,737","22,432","7,215",,,360,"1,419","9,992",215,,"2,000","1,817","-6,221","-2,760",,218,"7,815","3,868","2,088",72,"1,059",751,"1,691",577,"21,817","6,898",2.33,0.91,,"23,674","2,982",,75,"26,731","4,409","9,790","21,351","41,633","34,896",1.42,1.35
PNM,11Nov2019,Arizona,N,"37,679","36,922","38,502","1,580","22,952","5,652",,,360,"1,150","8,182",206,,"-2,723","1,890","-4,831","-2,483",,6,"5,579","4,142","2,055",72,"1,121",829,"1,772",628,"23,213","7,266",2.33,0.91,,"24,212","2,327",,62,"26,601","4,973","7,879","23,696","38,502","36,922",1.52,1.41
PNM,12Nov2019,Arizona,N,"38,970","38,719","34,261","-4,458","19,867","6,002",,,360,"1,771","6,076",185,,"-3,537","1,800","-6,879","-3,433",,982,"6,730",-121,"2,088",74,"1,165",894,"1,872",726,"24,368","7,642",2.33,0.91,,"20,963","2,466",,53,"23,481","7,351","6,970","23,863","34,265","38,723",1.51,1.36
PNM,13Nov2019,Arizona,N,"38,084","37,486","33,198","-4,288","11,387","8,060",,,360,"1,774","11,374",243,,-808,"3,096","-9,719","-3,039",,337,"7,914","-2,069","1,851",75,"1,172",844,"1,833",701,"23,794","7,294",2.33,0.91,,"12,039","3,320",,86,"15,446","7,749","5,692","17,503","33,198","37,486",1.03,1.03
PNM,14Nov2019,Arizona,N,"38,321","36,785","27,534","-9,251","11,272","9,386",,,360,"1,846","4,444",226,,"-4,655","1,798","-3,320","-3,176",,48,"2,987","-2,933","2,058",74,"1,180",847,"1,456",697,"22,895","7,248",2.33,0.91,,"11,906","3,863",,43,"15,812","7,095","2,875","20,033","27,534","36,785",1.27,1.20
