BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,01Oct2018,Arizona,N,"38,700","38,040","31,236","-6,804","11,302","12,428",,,113,"1,110","6,238",45,,"-8,520","8,721","-4,123","-3,112",,198,"1,464","-1,432","1,857",57,"1,242",620,"1,695",480,"25,348","6,647",2.33,0.92,,"11,929","5,179",,50,"17,158","8,162","5,472","19,849","31,236","38,040",1.21,1.15
PNM,02Oct2018,Arizona,N,"39,046","37,346","31,197","-6,149","10,773","13,087",,,96,"1,161","6,039",41,,"-8,217","9,147","-4,424","-2,700",,227,-68,-114,"1,887",57,"1,266",624,"1,656",445,"24,668","6,627",2.33,0.92,,"11,388","5,451",,49,"16,888","7,525","5,370","19,043","31,197","37,346",1.19,1.12
PNM,03Oct2018,Arizona,N,"39,208","37,481","34,441","-3,040","10,980","13,490",,,96,"1,554","8,277",44,,"-6,289","9,156","-5,481","-2,641",,222,142,"1,851","1,616",57,"1,277",597,"1,677",475,"24,818","6,853",2.33,0.92,,"11,621","5,623",,66,"17,310","6,446","5,731","18,025","34,441","37,481",1.11,1.06
PNM,04Oct2018,Arizona,N,"37,880","37,079","36,126",-953,"11,334","13,298",,,96,"1,591","9,765",42,,"-6,469","8,964","-3,706","-2,841",,303,"1,538","1,258","1,838",54,"1,253",594,"1,638",466,"24,545","6,593",2.33,0.92,,"11,983","5,531",,76,"17,590","5,912","6,040","17,462","36,126","37,079",1.07,1.04
PNM,05Oct2018,Arizona,N,"35,733","35,399","31,967","-3,432","9,310","14,503",,,96,"1,757","6,259",42,,"-8,595","9,320","-3,504","-2,767",,227,"2,119",-232,"1,996",51,"1,176",582,"1,624",416,"22,825","6,553",2.33,0.92,,"9,847","6,037",,54,"15,938","6,994","6,092","16,840","31,967","35,399",1.10,1.05
PNM,06Oct2018,Arizona,N,"33,867","33,389","29,211","-4,178","2,844","15,260",,,96,"1,648","9,320",43,,"-7,372","9,869","-2,111","-2,741",,109,643,"-2,575","1,982",48,"1,081",598,"1,557",430,"21,344","6,243",2.33,0.92,,"3,005","6,362",,74,"9,441","7,370","4,185","12,626","29,211","33,389",0.71,0.83
PNM,07Oct2018,Arizona,N,"33,518","32,906","25,124","-7,782","3,496","10,974",,,96,805,"9,707",46,,"-7,031","7,934","-3,661","-2,608",,-216,"-1,104","-1,096","1,971",49,"1,075",618,"1,534",463,"20,857","6,275",2.33,0.92,,"3,692","4,578",,71,"8,340","8,481","3,549","13,272","25,124","32,906",0.73,0.89
PNM,08Oct2018,Arizona,N,"34,481","32,960","26,482","-6,478","3,446","16,502",,,96,"1,351","5,039",48,,"-7,885","9,301",-509,"-2,322",,-188,"-4,094",-781,"1,967",50,"1,120",634,"1,542",490,"20,627","6,370",2.33,0.92,,"3,644","6,868",,43,"10,556","9,091","4,629","15,017","26,482","32,960",0.88,1.00
PNM,09Oct2018,Arizona,N,"34,579","33,385","25,756","-7,629","3,998","15,949",,,96,"1,134","4,531",48,,"-6,818","9,503","-2,139","-2,602",,-51,"-3,647","-1,875","1,842",63,"1,146",725,"1,556",500,"20,830","6,525",2.33,0.92,,"4,230","6,647",,39,"10,916","9,227","4,520","15,623","25,756","33,385",0.93,1.03
PNM,10Oct2018,Arizona,N,"34,493","33,406","33,845",439,"9,092","17,104",,,84,"1,607","5,909",49,,"-4,544","9,451","-1,816","-2,192",,0,"-2,858","2,398","1,698",64,"1,158",703,"1,586",519,"21,067","6,371",2.33,0.92,,"9,622","7,138",,51,"16,811","6,214","6,026","16,999","33,845","33,406",1.10,1.12
PNM,11Oct2018,Arizona,N,"34,464","33,957","34,986","1,029","12,261","15,894",,,72,"1,092","5,619",48,,"-3,266","7,722","-2,814","-2,434",,0,-588,"2,409","1,854",64,"1,173",679,"1,622",534,"21,376","6,430",2.33,0.92,,"12,953","6,625",,45,"19,624","5,252","6,002","18,874","34,986","33,957",1.24,1.23
