BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BANC,CISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TIDC,30Aug2015,Pacific,N,"7,436","7,336","5,408","-1,942",,,,,,,,,,304,"-2,246",,,,,,,,,,,,,,,
TIDC,31Aug2015,Pacific,N,"8,470","8,769","6,092","-2,694",,,,,,,,,,"1,171","-3,865",,,,,,,,,,,,,,,
TIDC,01Sep2015,Pacific,N,"9,469","9,358","6,139","-3,228",,,,,,,,,,-966,"-2,262",,,,,,,,,,,,,,,
TIDC,02Sep2015,Pacific,N,"8,870","8,762","5,790","-2,983",,,,,,,,,,"-1,230","-1,753",,,,,,,,,,,,,,,
TIDC,03Sep2015,Pacific,N,"8,375","8,217","5,509","-2,720",,,,,,,,,,-100,"-2,620",,,,,,,,,,,,,,,
TIDC,04Sep2015,Pacific,N,"7,944","7,772","5,593","-2,192",,,,,,,,,,783,"-2,975",,,,,,,,,,,,,,,
TIDC,05Sep2015,Pacific,N,"7,477","6,796","4,979","-1,825",,,,,,,,,,"1,572","-3,397",,,,,,,,,,,,,,,
TIDC,06Sep2015,Pacific,N,"7,089","6,521","5,192","-1,350",,,,,,,,,,"1,377","-2,727",,,,,,,,,,,,,,,
TIDC,07Sep2015,Pacific,N,"7,428","7,315","5,497","-1,823",,,,,,,,,,493,"-2,316",,,,,,,,,,,,,,,
TIDC,08Sep2015,Pacific,N,"9,404","9,055","6,210","-2,856",,,,,,,,,,-383,"-2,473",,,,,,,,,,,,,,,
TIDC,09Sep2015,Pacific,N,"10,377","9,843","6,785","-3,069",,,,,,,,,,580,"-3,649",,,,,,,,,,,,,,,
TIDC,10Sep2015,Pacific,N,"10,889","10,259","6,926","-3,343",,,,,,,,,,-603,"-2,740",,,,,,,,,,,,,,,
TIDC,11Sep2015,Pacific,N,"10,969","9,656","6,386","-3,282",,,,,,,,,,-666,"-2,616",,,,,,,,,,,,,,,
TIDC,12Sep2015,Pacific,N,"9,224","7,774","5,405","-2,382",,,,,,,,,,"-3,039",657,,,,,,,,,,,,,,,
TIDC,13Sep2015,Pacific,N,"8,263","7,809","5,664","-2,155",,,,,,,,,,-931,"-1,224",,,,,,,,,,,,,,,
TIDC,14Sep2015,Pacific,N,"8,955","7,796","5,436","-2,368",,,,,,,,,,"-2,106",-262,,,,,,,,,,,,,,,
TIDC,15Sep2015,Pacific,N,"7,973","7,650","5,386","-2,276",,,,,,,,,,"-1,698",-578,,,,,,,,,,,,,,,
TIDC,16Sep2015,Pacific,N,"7,385","7,294","5,563","-1,737",,,,,,,,,,844,"-2,581",,,,,,,,,,,,,,,
TIDC,17Sep2015,Pacific,N,"7,502","7,417","5,294","-2,133",,,,,,,,,,"2,454","-4,587",,,,,,,,,,,,,,,
TIDC,18Sep2015,Pacific,N,"7,752","7,571","5,365","-2,218",,,,,,,,,,496,"-2,714",,,,,,,,,,,,,,,
TIDC,19Sep2015,Pacific,N,"7,570","7,284","5,404","-1,890",,,,,,,,,,984,"-2,874",,,,,,,,,,,,,,,
TIDC,20Sep2015,Pacific,N,"7,651","7,432","5,437","-2,006",,,,,,,,,,"1,745","-3,751",,,,,,,,,,,,,,,
TIDC,21Sep2015,Pacific,N,"9,051","9,230","6,488","-2,750",,,,,,,,,,"2,595","-5,345",,,,,,,,,,,,,,,
TIDC,22Sep2015,Pacific,N,"8,987","8,882","6,143","-2,747",,,,,,,,,,131,"-2,878",,,,,,,,,,,,,,,
TIDC,23Sep2015,Pacific,N,"8,629","8,116","5,991","-2,135",,,,,,,,,,"2,030","-4,165",,,,,,,,,,,,,,,
TIDC,24Sep2015,Pacific,N,"8,787","8,576","6,029","-2,561",,,,,,,,,,"1,014","-3,575",,,,,,,,,,,,,,,
TIDC,25Sep2015,Pacific,N,"8,918","8,855","6,406","-2,468",,,,,,,,,,680,"-3,148",,,,,,,,,,,,,,,
TIDC,26Sep2015,Pacific,N,"8,010","8,306","5,701","-2,620",,,,,,,,,,"-1,435","-1,185",,,,,,,,,,,,,,,
TIDC,27Sep2015,Pacific,N,"7,333","7,540","5,672","-1,883",,,,,,,,,,-451,"-1,432",,,,,,,,,,,,,,,
TIDC,28Sep2015,Pacific,N,"8,211","8,095","6,652","-1,459",,,,,,,,,,-554,-905,,,,,,,,,,,,,,,
TIDC,29Sep2015,Pacific,N,"8,186","7,616","6,004","-1,625",,,,,,,,,,-408,"-1,217",,,,,,,,,,,,,,,
TIDC,30Sep2015,Pacific,N,"7,637","7,371","3,928","-3,457",,,,,,,,,,"-1,340","-2,117",,,,,,,,,,,,,,,
TIDC,01Oct2015,Pacific,N,"7,410","7,231","4,193","-3,046",,,,,,,,,,628,"-3,674",,,,,,,,,,,,,,,
TIDC,02Oct2015,Pacific,N,"7,445","7,310","3,709","-3,624",,,,,,,,,,"1,274","-4,898",,,,,,,,,,,,,,,
TIDC,03Oct2015,Pacific,N,"6,585","6,735","1,889","-4,890",,,,,,,,,,-941,"-3,949",,,,,,,,,,,,,,,
TIDC,04Oct2015,Pacific,N,"5,828","5,790","1,136","-4,685",,,,,,,,,,-415,"-4,270",,,,,,,,,,,,,,,
TIDC,05Oct2015,Pacific,N,"6,956","7,198","2,239","-4,997",,,,,,,,,,-378,"-4,619",,,,,,,,,,,,,,,
TIDC,06Oct2015,Pacific,N,"7,493","7,708","2,689","-5,045",,,,,,,,,,"-1,173","-3,872",,,,,,,,,,,,,,,
TIDC,07Oct2015,Pacific,N,"7,884","7,936","3,039","-4,914",,,,,,,,,,"-1,203","-3,711",,,,,,,,,,,,,,,
TIDC,08Oct2015,Pacific,N,"7,973","8,129","2,868","-5,272",,,,,,,,,,-503,"-4,769",,,,,,,,,,,,,,,
TIDC,09Oct2015,Pacific,N,"7,876","8,077","2,727","-5,366",,,,,,,,,,"-2,770","-2,596",,,,,,,,,,,,,,,
TIDC,10Oct2015,Pacific,N,"7,269","7,234","1,372","-5,874",,,,,,,,,,"-5,511",-363,,,,,,,,,,,,,,,
TIDC,11Oct2015,Pacific,N,"7,019","6,711","1,737","-4,980",,,,,,,,,,"-4,590",-390,,,,,,,,,,,,,,,
TIDC,12Oct2015,Pacific,N,"8,186","8,059","2,743","-5,330",,,,,,,,,,"-4,556",-774,,,,,,,,,,,,,,,
TIDC,13Oct2015,Pacific,N,"8,753","8,636","2,452","-6,198",,,,,,,,,,"-6,616",418,,,,,,,,,,,,,,,
TIDC,14Oct2015,Pacific,N,"8,472","8,405","2,489","-5,926",,,,,,,,,,"-5,912",-14,,,,,,,,,,,,,,,
TIDC,15Oct2015,Pacific,N,"8,425","8,303","2,421","-5,900",,,,,,,,,,"-5,328",-572,,,,,,,,,,,,,,,
TIDC,16Oct2015,Pacific,N,"8,042","8,373","2,441","-5,947",,,,,,,,,,"-5,798",-149,,,,,,,,,,,,,,,
TIDC,17Oct2015,Pacific,N,"6,646","6,567","1,736","-4,846",,,,,,,,,,"-6,334","1,488",,,,,,,,,,,,,,,
TIDC,18Oct2015,Pacific,N,"6,094","5,785","1,814","-3,986",,,,,,,,,,"-2,999",-987,,,,,,,,,,,,,,,
TIDC,19Oct2015,Pacific,N,"7,132","6,814","4,427","-2,396",,,,,,,,,,-358,"-2,038",,,,,,,,,,,,,,,
TIDC,20Oct2015,Pacific,N,"7,434","7,070","6,733",-342,,,,,,,,,,-299,-43,,,,,,,,,,,,,,,
TIDC,21Oct2015,Pacific,N,"7,436","7,096","7,200",94,,,,,,,,,,60,34,,,,,,,,,,,,,,,
TIDC,22Oct2015,Pacific,N,"7,337","7,138","6,352",-799,,,,,,,,,,-249,-550,,,,,,,,,,,,,,,
TIDC,23Oct2015,Pacific,N,"6,992","7,001","5,499","-1,511",,,,,,,,,,-820,-691,,,,,,,,,,,,,,,
TIDC,24Oct2015,Pacific,N,"6,391","6,185","4,843","-1,355",,,,,,,,,,"-2,504","1,149",,,,,,,,,,,,,,,
TIDC,25Oct2015,Pacific,N,"5,993","5,786","5,064",-736,,,,,,,,,,"-2,974","2,238",,,,,,,,,,,,,,,
TIDC,26Oct2015,Pacific,N,"7,016","6,911","5,864","-1,060",,,,,,,,,,93,"-1,153",,,,,,,,,,,,,,,
TIDC,27Oct2015,Pacific,N,"7,054","6,989","5,026","-1,980",,,,,,,,,,-571,"-1,409",,,,,,,,,,,,,,,
TIDC,28Oct2015,Pacific,N,"6,869","6,786","5,054","-1,749",,,,,,,,,,"1,496","-3,245",,,,,,,,,,,,,,,
TIDC,29Oct2015,Pacific,N,"6,934","6,574","4,788","-1,801",,,,,,,,,,"2,553","-4,354",,,,,,,,,,,,,,,
TIDC,30Oct2015,Pacific,N,"6,949","6,395","4,884","-1,528",,,,,,,,,,"2,698","-4,226",,,,,,,,,,,,,,,
TIDC,31Oct2015,Pacific,N,"6,278","5,725","4,687","-1,057",,,,,,,,,,595,"-1,652",,,,,,,,,,,,,,,
TIDC,01Nov2015,Pacific,N,,"5,739","5,059",-684,,,,,,,,,,,,,,,,,,,,,,,,,,
TIDC,02Nov2015,Pacific,N,"6,339","6,364","4,887","-1,494",,,,,,,,,,"3,186","-4,680",,,,,,,,,,,,,,,
TIDC,03Nov2015,Pacific,N,"6,385","6,229","4,942","-1,303",,,,,,,,,,"4,494","-5,797",,,,,,,,,,,,,,,
TIDC,04Nov2015,Pacific,N,"6,267","6,275","4,908","-1,382",,,,,,,,,,"2,782","-4,164",,,,,,,,,,,,,,,
TIDC,05Nov2015,Pacific,N,"6,305","6,266","4,887","-1,399",,,,,,,,,,577,"-1,976",,,,,,,,,,,,,,,
TIDC,06Nov2015,Pacific,N,"6,212","6,074","5,151",-943,,,,,,,,,,296,"-1,239",,,,,,,,,,,,,,,
TIDC,07Nov2015,Pacific,N,"5,536","5,395","5,016",-399,,,,,,,,,,731,"-1,130",,,,,,,,,,,,,,,
TIDC,08Nov2015,Pacific,N,"5,270","5,190","4,906",-302,,,,,,,,,,776,"-1,078",,,,,,,,,,,,,,,
TIDC,09Nov2015,Pacific,N,"6,138","6,069","5,234",-846,,,,,,,,,,"1,185","-2,031",,,,,,,,,,,,,,,
TIDC,10Nov2015,Pacific,N,"6,255","6,124","5,013","-1,124",,,,,,,,,,"1,514","-2,638",,,,,,,,,,,,,,,
TIDC,11Nov2015,Pacific,N,"6,235","5,975","4,836","-1,158",,,,,,,,,,-880,-278,,,,,,,,,,,,,,,
TIDC,12Nov2015,Pacific,N,"6,176","6,099","4,965","-1,146",,,,,,,,,,-671,-475,,,,,,,,,,,,,,,
TIDC,13Nov2015,Pacific,N,"6,024","5,968","4,927","-1,052",,,,,,,,,,492,"-1,544",,,,,,,,,,,,,,,
TIDC,14Nov2015,Pacific,N,"5,386","5,467","4,991",-497,,,,,,,,,,"1,569","-2,066",,,,,,,,,,,,,,,
TIDC,15Nov2015,Pacific,N,"5,234","5,376","4,930",-462,,,,,,,,,,"1,485","-1,947",,,,,,,,,,,,,,,
TIDC,16Nov2015,Pacific,N,"6,168","6,104","4,940","-1,183",,,,,,,,,,"2,402","-3,585",,,,,,,,,,,,,,,
TIDC,17Nov2015,Pacific,N,"6,231","6,197","5,619",-596,,,,,,,,,,-114,-482,,,,,,,,,,,,,,,
TIDC,18Nov2015,Pacific,N,"6,203","6,205","5,107","-1,118",,,,,,,,,,271,"-1,389",,,,,,,,,,,,,,,
TIDC,19Nov2015,Pacific,N,"6,212","6,102","5,024","-1,096",,,,,,,,,,"1,221","-2,317",,,,,,,,,,,,,,,
TIDC,20Nov2015,Pacific,N,"6,004","5,958","5,057",-923,,,,,,,,,,"2,316","-3,239",,,,,,,,,,,,,,,
TIDC,21Nov2015,Pacific,N,"5,415","5,450","4,846",-625,,,,,,,,,,"1,752","-2,377",,,,,,,,,,,,,,,
TIDC,22Nov2015,Pacific,N,"5,177","5,297","4,977",-342,,,,,,,,,,"1,761","-2,103",,,,,,,,,,,,,,,
TIDC,23Nov2015,Pacific,N,"6,135","6,086","5,121",-979,,,,,,,,,,"2,944","-3,923",,,,,,,,,,,,,,,
TIDC,24Nov2015,Pacific,N,"6,221","6,359","4,948","-1,429",,,,,,,,,,"2,397","-3,826",,,,,,,,,,,,,,,
TIDC,25Nov2015,Pacific,N,"6,296","6,318","5,051","-1,286",,,,,,,,,,"3,520","-4,806",,,,,,,,,,,,,,,
TIDC,26Nov2015,Pacific,N,"5,449","5,425","5,006",-440,,,,,,,,,,"2,921","-3,332",,,,,,,,,,,,,,,
TIDC,27Nov2015,Pacific,N,"5,580","5,726","5,277",-466,,,,,,,,,,"3,308","-3,774",,,,,,,,,,,,,,,
TIDC,28Nov2015,Pacific,N,"5,668","5,690","5,076",-633,,,,,,,,,,"3,239","-3,872",,,,,,,,,,,,,,,
TIDC,29Nov2015,Pacific,N,"5,531","5,635","5,335",-319,,,,,,,,,,"4,655","-4,974",,,,,,,,,,,,,,,
TIDC,30Nov2015,Pacific,N,"6,362","6,645","5,765",-899,,,,,,,,,,"4,508","-5,407",,,,,,,,,,,,,,,
TIDC,01Dec2015,Pacific,N,"6,579","6,606","5,064","-1,559",,,,,,,,,,"3,191","-4,750",,,,,,,,,,,,,,,
TIDC,02Dec2015,Pacific,N,"6,462","6,584","5,232","-1,370",,,,,,,,,,"1,734","-3,104",,,,,,,,,,,,,,,
TIDC,03Dec2015,Pacific,N,"6,489","6,622","5,114","-1,523",,,,,,,,,,943,"-2,466",,,,,,,,,,,,,,,
TIDC,04Dec2015,Pacific,N,"6,327","6,319","5,134","-1,204",,,,,,,,,,"1,944","-3,148",,,,,,,,,,,,,,,
TIDC,05Dec2015,Pacific,N,"5,759","6,040","5,140",-912,,,,,,,,,,"1,527","-2,439",,,,,,,,,,,,,,,
TIDC,06Dec2015,Pacific,N,"5,407","5,536","5,023",-531,,,,,,,,,,"2,217","-2,748",,,,,,,,,,,,,,,
TIDC,07Dec2015,Pacific,N,"6,282","6,419","5,012","-1,425",,,,,,,,,,"1,909","-3,334",,,,,,,,,,,,,,,
TIDC,08Dec2015,Pacific,N,"6,510","6,598","5,006","-1,609",,,,,,,,,,"1,112","-2,721",,,,,,,,,,,,,,,
TIDC,09Dec2015,Pacific,N,"6,445","6,422","4,880","-1,557",,,,,,,,,,"1,242","-2,799",,,,,,,,,,,,,,,
TIDC,10Dec2015,Pacific,N,"6,489","6,538","4,911","-1,642",,,,,,,,,,"1,520","-3,162",,,,,,,,,,,,,,,
TIDC,11Dec2015,Pacific,N,"6,335","6,284","4,885","-1,418",,,,,,,,,,"2,806","-4,224",,,,,,,,,,,,,,,
TIDC,12Dec2015,Pacific,N,"5,842","5,612","4,665",-967,,,,,,,,,,"2,263","-3,230",,,,,,,,,,,,,,,
TIDC,13Dec2015,Pacific,N,"5,566","5,657","4,935",-742,,,,,,,,,,885,"-1,627",,,,,,,,,,,,,,,
TIDC,14Dec2015,Pacific,N,"6,579","6,539","4,874","-1,684",,,,,,,,,,"2,882","-4,566",,,,,,,,,,,,,,,
TIDC,15Dec2015,Pacific,N,"6,676","6,714","5,258","-1,472",,,,,,,,,,"1,248","-2,720",,,,,,,,,,,,,,,
TIDC,16Dec2015,Pacific,N,"6,740","6,754","5,014","-1,758",,,,,,,,,,"1,674","-3,432",,,,,,,,,,,,,,,
TIDC,17Dec2015,Pacific,N,"6,750","6,691","4,964","-1,745",,,,,,,,,,"2,148","-3,893",,,,,,,,,,,,,,,
TIDC,18Dec2015,Pacific,N,"6,440","6,525","5,169","-1,376",,,,,,,,,,"1,436","-2,812",,,,,,,,,,,,,,,
TIDC,19Dec2015,Pacific,N,"5,946","5,866","4,863","-1,022",,,,,,,,,,109,"-1,131",,,,,,,,,,,,,,,
TIDC,20Dec2015,Pacific,N,"5,665","5,846","4,909",-957,,,,,,,,,,"2,469","-3,426",,,,,,,,,,,,,,,
TIDC,21Dec2015,Pacific,N,"6,573","6,609","4,840","-1,786",,,,,,,,,,"2,132","-3,918",,,,,,,,,,,,,,,
TIDC,22Dec2015,Pacific,N,"6,441","6,371","4,837","-1,551",,,,,,,,,,181,"-1,732",,,,,,,,,,,,,,,
TIDC,23Dec2015,Pacific,N,"6,377","6,299","5,091","-1,223",,,,,,,,,,"2,961","-4,184",,,,,,,,,,,,,,,
TIDC,24Dec2015,Pacific,N,"5,736","6,106","4,980","-1,144",,,,,,,,,,"3,601","-4,745",,,,,,,,,,,,,,,
TIDC,25Dec2015,Pacific,N,"5,327","5,407","4,792",-635,,,,,,,,,,"2,800","-3,435",,,,,,,,,,,,,,,
TIDC,26Dec2015,Pacific,N,"5,782","5,626","4,871",-777,,,,,,,,,,"1,741","-2,518",,,,,,,,,,,,,,,
TIDC,27Dec2015,Pacific,N,"5,766","5,903","5,206",-718,,,,,,,,,,"1,207","-1,925",,,,,,,,,,,,,,,
TIDC,28Dec2015,Pacific,N,"6,419","6,582","5,197","-1,404",,,,,,,,,,"1,224","-2,628",,,,,,,,,,,,,,,
TIDC,29Dec2015,Pacific,N,"6,686","6,554","5,023","-1,554",,,,,,,,,,"1,050","-2,604",,,,,,,,,,,,,,,
TIDC,30Dec2015,Pacific,N,"6,629","6,526","5,142","-1,404",,,,,,,,,,"1,616","-3,020",,,,,,,,,,,,,,,
TIDC,31Dec2015,Pacific,N,"6,511","6,026","4,672","-1,380",,,,,,,,,,941,"-2,321",,,,,,,,,,,,,,,
TIDC,01Jan2016,Pacific,N,"5,693","5,516","5,079",-458,,,,,,,,,,606,"-1,064",,,,,,,,,,,,,,,
TIDC,02Jan2016,Pacific,N,"5,714","5,680","5,265",-437,,,,,,,,,,941,"-1,378",,,,,,,,,,,,,,,
TIDC,03Jan2016,Pacific,N,"5,558","5,502","5,119",-404,,,,,,,,,,"2,007","-2,411",,,,,,,,,,,,,,,
TIDC,04Jan2016,Pacific,N,"6,372","6,510","5,280","-1,246",,,,,,,,,,"1,309","-2,555",,,,,,,,,,,,,,,
