BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,15Aug2015,Eastern,N,"126,132","155,197","112,724","-42,473",,,,,,,,,,"-9,429","-12,960",-766,589,"-16,372","-7,278","-3,239","6,982",,,,,,,,,,,,,,,
FPC,16Aug2015,Eastern,N,"124,305","158,671","116,069","-42,602",,,,,,,,,,"-10,408","-11,031",-596,567,"-17,206","-7,062","-3,028","6,162",,,,,,,,,,,,,,,
FPC,17Aug2015,Eastern,N,"134,208","171,505","125,405","-46,100",,,,,,,,,,"-15,618","-9,135",-715,591,"-18,052","-8,140","-3,156","8,125",,,,,,,,,,,,,,,
FPC,18Aug2015,Eastern,N,"138,207","178,294","130,782","-47,512",,,,,,,,,,"-15,178","-11,237",-707,721,"-16,415","-8,411","-3,725","7,440",,,,,,,,,,,,,,,
FPC,19Aug2015,Eastern,N,"141,327","182,334","133,995","-48,339",,,,,,,,,,"-13,273","-13,096",-701,666,"-17,352","-8,421","-3,939","7,777",,,,,,,,,,,,,,,
FPC,20Aug2015,Eastern,N,"140,776","181,549","136,015","-45,534",,,,,,,,,,"-14,679","-11,517",-619,573,"-17,117","-8,138","-3,853","9,816",,,,,,,,,,,,,,,
FPC,21Aug2015,Eastern,N,"143,426","182,373","134,867","-47,506",,,,,,,,,,"-14,099","-11,597",679,541,"-18,207","-8,207","-4,036","7,420",,,,,,,,,,,,,,,
FPC,22Aug2015,Eastern,N,"142,967","179,494","131,613","-47,881",,,,,,,,,,"-14,717","-11,923",801,640,"-18,827","-8,148","-3,985","8,278",,,,,,,,,,,,,,,
FPC,23Aug2015,Eastern,N,"142,809","183,991","134,668","-49,323",,,,,,,,,,"-13,826","-14,663",626,554,"-19,114","-7,164","-3,743","8,007",,,,,,,,,,,,,,,
FPC,24Aug2015,Eastern,N,"151,345","182,492","138,749","-43,743",,,,,,,,,,"-12,340","-12,475",-819,319,"-18,741","-8,047","-3,591","11,954",,,,,,,,,,,,,,,
FPC,25Aug2015,Eastern,N,"152,643","192,361","144,166","-48,195",,,,,,,,,,"-13,180","-15,511",-456,374,"-18,266","-9,167","-3,942","11,953",,,,,,,,,,,,,,,
FPC,26Aug2015,Eastern,N,"144,516","187,561","141,555","-46,006",,,,,,,,,,"-11,477","-17,573",-429,328,"-18,021","-8,810","-3,897","13,873",,,,,,,,,,,,,,,
FPC,27Aug2015,Eastern,N,"136,931","158,572","114,816","-43,756",,,,,,,,,,"-11,820","-11,463",-651,335,"-16,936","-8,587","-2,852","8,218",,,,,,,,,,,,,,,
FPC,28Aug2015,Eastern,N,"130,434","160,167","117,497","-42,670",,,,,,,,,,"-11,571","-11,301",-629,506,"-17,344","-7,293","-2,721","7,683",,,,,,,,,,,,,,,
FPC,29Aug2015,Eastern,N,"124,001","153,084","111,261","-41,823",,,,,,,,,,"-10,567","-11,382",-606,590,"-15,806","-6,900","-2,901","5,749",,,,,,,,,,,,,,,
FPC,30Aug2015,Eastern,N,"125,918","151,848","109,208","-42,640",,,,,,,,,,"-11,010","-13,400",-577,391,"-16,097","-6,723","-3,025","7,801",,,,,,,,,,,,,,,
FPC,31Aug2015,Eastern,N,"128,633","161,346","114,197","-47,149",,,,,,,,,,"-10,611","-13,426",-668,491,"-17,700","-7,226","-2,740","4,731",,,,,,,,,,,,,,,
FPC,01Sep2015,Eastern,N,"136,845","165,474","122,892","-42,582",,,,,,,,,,"-11,575","-10,205",-509,626,"-15,640","-7,427","-2,763","4,911",,,,,,,,,,,,,,,
FPC,02Sep2015,Eastern,N,"143,177","182,788","137,750","-45,038",,,,,,,,,,"-12,930","-11,034",-609,480,"-15,782","-8,516","-3,004","6,357",,,,,,,,,,,,,,,
FPC,03Sep2015,Eastern,N,"149,024","181,884","134,500","-47,384",,,,,,,,,,"-12,893","-11,368",-601,455,"-18,451","-8,295","-2,872","6,641",,,,,,,,,,,,,,,
FPC,04Sep2015,Eastern,N,"138,859","168,763","124,949","-43,814",,,,,,,,,,"-14,189","-9,295",698,543,"-18,871","-8,777","-3,042","9,119",,,,,,,,,,,,,,,
FPC,05Sep2015,Eastern,N,"127,120","156,264","113,195","-43,069",,,,,,,,,,"-13,737","-9,289",605,490,"-18,230","-7,462","-2,190","6,744",,,,,,,,,,,,,,,
FPC,06Sep2015,Eastern,N,"117,563","153,063","116,773","-36,290",,,,,,,,,,"-9,748","-10,587",711,597,"-15,480","-5,372","-2,923","6,512",,,,,,,,,,,,,,,
FPC,07Sep2015,Eastern,N,"120,552","143,714","102,403","-41,311",,,,,,,,,,"-11,694","-10,119",716,497,"-16,266","-5,859","-3,135","4,549",,,,,,,,,,,,,,,
FPC,08Sep2015,Eastern,N,"130,985","162,223","118,859","-43,364",,,,,,,,,,"-12,578","-11,658",596,516,"-18,606","-7,304","-3,358","9,028",,,,,,,,,,,,,,,
FPC,09Sep2015,Eastern,N,"139,811","177,183","131,375","-45,808",,,,,,,,,,"-13,735","-9,637",-746,526,"-17,767","-8,545","-3,765","7,861",,,,,,,,,,,,,,,
FPC,10Sep2015,Eastern,N,"145,861","180,969","133,513","-47,456",,,,,,,,,,"-13,925","-10,843",-746,811,"-17,665","-7,775","-4,003","6,690",,,,,,,,,,,,,,,
FPC,11Sep2015,Eastern,N,"140,835","183,135","133,908","-49,227",,,,,,,,,,"-12,978","-10,595",-519,497,"-18,120","-7,667","-4,532","4,687",,,,,,,,,,,,,,,
FPC,12Sep2015,Eastern,N,"124,905","155,024","115,509","-39,515",,,,,,,,,,"-10,791","-11,169",-660,452,"-16,753","-6,572","-3,460","9,438",,,,,,,,,,,,,,,
FPC,13Sep2015,Eastern,N,"116,081","138,576","106,477","-32,099",,,,,,,,,,"-9,643","-11,834",-582,390,"-14,513","-5,416","-3,137","12,636",,,,,,,,,,,,,,,
FPC,14Sep2015,Eastern,N,"127,370","150,968","112,995","-37,973",,,,,,,,,,"-9,801","-12,075",-553,312,"-17,363","-6,466","-3,295","11,271",,,,,,,,,,,,,,,
FPC,15Sep2015,Eastern,N,"132,018","154,407","112,656","-41,751",,,,,,,,,,"-13,201","-8,824",-697,293,"-18,392","-7,238","-3,645","9,953",,,,,,,,,,,,,,,
FPC,16Sep2015,Eastern,N,"126,488","147,348","106,153","-41,195",,,,,,,,,,"-10,784","-12,203",-725,297,"-16,670","-6,727","-3,238","8,855",,,,,,,,,,,,,,,
FPC,17Sep2015,Eastern,N,"115,379","142,539","106,233","-36,306",,,,,,,,,,"-9,846","-8,977",-573,368,"-15,824","-5,651","-3,294","7,491",,,,,,,,,,,,,,,
FPC,18Sep2015,Eastern,N,"116,001","152,715","111,144","-41,571",,,,,,,,,,"-10,813","-9,852",-644,346,"-15,743","-5,456","-3,212","3,803",,,,,,,,,,,,,,,
FPC,19Sep2015,Eastern,N,"123,932","162,354","113,026","-49,328",,,,,,,,,,"-11,598","-11,770",-817,185,"-16,620","-6,882","-3,595","1,769",,,,,,,,,,,,,,,
FPC,20Sep2015,Eastern,N,"127,472","163,653","116,012","-47,641",,,,,,,,,,"-10,077","-13,763",-865,519,"-16,659","-7,458","-3,551","4,213",,,,,,,,,,,,,,,
FPC,21Sep2015,Eastern,N,"134,648","164,706","119,016","-45,690",,,,,,,,,,"-12,075","-11,993",-880,469,"-16,013","-8,045","-3,351","6,198",,,,,,,,,,,,,,,
FPC,22Sep2015,Eastern,N,"129,682","162,545","120,842","-41,703",,,,,,,,,,"-10,872","-8,892",-746,466,"-15,397","-7,894","-2,654","4,286",,,,,,,,,,,,,,,
FPC,23Sep2015,Eastern,N,"122,171","162,213","117,884","-44,329",,,,,,,,,,"-11,032","-11,663",-941,346,"-15,960","-7,451","-3,216","5,588",,,,,,,,,,,,,,,
FPC,24Sep2015,Eastern,N,"120,031","159,209","116,416","-42,793",,,,,,,,,,"-9,809","-11,893",-987,342,"-16,005","-7,518","-3,297","6,374",,,,,,,,,,,,,,,
FPC,25Sep2015,Eastern,N,"124,342","156,467","113,109","-43,358",,,,,,,,,,"-10,130","-5,513",-736,391,"-19,634","-7,073","-3,123","2,458",,,,,,,,,,,,,,,
FPC,26Sep2015,Eastern,N,"125,650","156,279","110,169","-46,110",,,,,,,,,,"-9,972","-8,746",-856,430,"-16,594","-7,253","-3,424",305,,,,,,,,,,,,,,,
