BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,13Jun2020,Central,N,"28,070","13,952","16,697","2,745","3,865","12,703",,,49,,,72,,-360,"3,105",2.24,0.91,,"3,930","5,218",,1,"9,149",189,"1,740","7,598","16,689","13,944",1.21,1.20
AEC,14Jun2020,Central,N,"28,127","13,952","16,740","2,788","4,169","12,463",,,34,,,72,,963,"1,825",2.24,0.91,,"4,237","5,118",,1,"9,356",0,"1,593","7,763","16,738","13,950",1.23,1.23
AEC,15Jun2020,Central,N,"28,620","14,224","16,924","2,697","4,186","12,656",,,7,,,72,,659,"2,038",2.24,0.90,,"4,253","5,180",,0,"9,433",10,"1,541","7,902","16,921","14,224",1.23,1.22
AEC,16Jun2020,Central,N,"26,077","13,327","16,347","3,020","3,645","12,596",,,28,,,72,,562,"2,458",2.24,0.90,,"3,705","5,148",,1,"8,853",26,"1,666","7,213","16,341","13,321",1.19,1.19
AEC,17Jun2020,Central,N,"26,361","12,967","15,919","2,952","3,708","12,111",,,28,,,72,,769,"2,183",2.24,0.90,,"3,773","4,948",,1,"8,722",12,"1,635","7,098","15,919","12,967",1.21,1.21
AEC,18Jun2020,Central,N,"27,259","14,012","16,592","2,579","4,006","12,493",,,9,,,77,,868,"1,711",2.24,0.90,,"4,074","5,100",,1,"9,175",2,"1,450","7,728","16,585","14,006",1.22,1.22
AEC,19Jun2020,Central,N,"28,591","14,566","18,741","4,172","3,598","15,054",,,0,,,80,,779,"3,393",2.24,0.90,,"3,657","6,137",,0,"9,794",0,"2,180","7,614","18,732","14,560",1.15,1.15
AEC,20Jun2020,Central,N,"29,991","14,875","19,186","4,312","2,968","16,119",,,9,,,84,,701,"3,611",2.24,0.90,,"3,014","6,574",,1,"9,588",11,"2,169","7,431","19,180","14,868",1.10,1.10
AEC,21Jun2020,Central,N,"30,442","15,061","19,560","4,498","2,862","16,616",,,0,,,84,,"1,760","2,738",2.25,0.90,,"2,914","6,790",,1,"9,705",9,"2,248","7,466","19,562","15,064",1.09,1.09
AEC,22Jun2020,Central,N,"30,541","14,234","18,506","4,271","2,854","15,533",,,22,,,90,,"1,034","3,237",2.24,0.90,,"2,903","6,343",,1,"9,247",3,"2,136","7,113","18,499","14,228",1.10,1.10
AEC,23Jun2020,Central,N,"28,812","14,227","18,662","4,435","2,853","15,668",,,30,,,101,,"1,140","3,295",2.24,0.90,,"2,901","6,404",,1,"9,305",0,"2,215","7,091","18,652","14,217",1.10,1.10
AEC,24Jun2020,Central,N,"28,027","14,094","17,285","3,189","2,855","14,318",,,0,,,100,,864,"2,325",2.24,0.90,,"2,901","5,859",,1,"8,760",26,"1,654","7,132","17,273","14,084",1.12,1.12
AEC,25Jun2020,Central,N,"27,185","14,276","17,917","3,637","2,819","14,602",,,390,,,98,,705,"2,932",2.24,0.90,,"2,868","5,982",,3,"8,853",39,"1,841","7,051","17,909","14,272",1.09,1.09
AEC,26Jun2020,Central,N,"29,715","14,321","18,423","4,100","2,689","15,615",,,10,,,99,,274,"3,826",2.24,0.90,,"2,734","6,383",,1,"9,118",130,"2,140","7,107","18,413","14,313",1.09,1.09
AEC,27Jun2020,Central,N,"30,035","14,509","17,531","3,024","2,702","14,694",,,37,,,96,,846,"2,178",2.24,0.90,,"2,749","6,007",,1,"8,757",28,"1,542","7,243","17,529","14,505",1.10,1.10
