BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AVRN,22Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,23Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,24Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,25Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,26Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,27Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,28Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,29Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,30Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,01Oct2018,Pacific,Y,,,"1,553","1,553",,,,,0,0,"1,553",,,"1,553",,,,,,,,10,10,3,10,,"1,568",15,0.01,
AVRN,02Oct2018,Pacific,Y,,,"13,117","13,117",,,,,0,0,"13,117",,,"13,117",,,,,,,,87,87,0,87,,"13,117",0,0.01,
AVRN,03Oct2018,Pacific,Y,,,"2,143","2,143",,,,,0,0,"2,143",,,"2,143",,,,,,,,14,14,1,14,,"2,148",5,0.01,
AVRN,04Oct2018,Pacific,Y,,,"4,872",,,,,,0,0,"4,872",,,"98,269",,,,,,,,32,32,2,653,,"4,882","-93,387",0.01,
AVRN,05Oct2018,Pacific,Y,,,"3,191",,,,,,0,0,"3,191",,,"203,439",,,,,,,,21,21,0,"1,352",,"3,193","-200,246",0.01,
AVRN,06Oct2018,Pacific,Y,,,"1,703","1,703",,,,,0,0,"1,703",,,"1,703",,,,,,,,11,11,0,11,,"1,703",0,0.01,
AVRN,07Oct2018,Pacific,Y,,,"1,646","1,646",,,,,0,0,"1,646",,,"1,646",,,,,,,,11,11,0,11,,"1,646",0,0.01,
AVRN,08Oct2018,Pacific,Y,,,341,341,,,,,0,0,341,,,341,,,,,,,,3,3,11,3,,402,61,0.01,
AVRN,09Oct2018,Pacific,Y,,,"5,681","5,681",,,,,0,0,"5,681",,,"5,681",,,,,,,,38,38,1,38,,"5,684",3,0.01,
AVRN,10Oct2018,Pacific,Y,,,818,,,,,,0,0,818,,,"111,310",,,,,,,,6,6,2,740,,833,"-110,477",0.01,
AVRN,11Oct2018,Pacific,Y,,,165,165,,,,,0,0,165,,,165,,,,,,,,1,1,3,1,,188,23,0.01,
AVRN,12Oct2018,Pacific,Y,,,"4,710","4,710",,,,,0,0,"4,710",,,"4,710",,,,,,,,31,31,0,31,,"4,710",0,0.01,
AVRN,13Oct2018,Pacific,Y,,,"3,804","3,804",,,,,0,0,"3,804",,,"3,804",,,,,,,,25,25,0,25,,"3,804",0,0.01,
AVRN,14Oct2018,Pacific,Y,,,"1,137","1,137",,,,,0,0,"1,137",,,"1,137",,,,,,,,8,8,1,8,,"1,144",7,0.01,
AVRN,15Oct2018,Pacific,Y,,,20,20,,,,,0,0,20,,,20,,,,,,,,0,0,8,0,,73,53,0.01,
AVRN,16Oct2018,Pacific,Y,,,109,109,,,,,0,0,109,,,109,,,,,,,,1,1,6,1,,144,35,0.01,
AVRN,17Oct2018,Pacific,Y,,,142,142,,,,,0,0,142,,,142,,,,,,,,1,1,7,1,,181,39,0.01,
AVRN,18Oct2018,Pacific,Y,,,-84,-84,,,,,0,0,-84,,,-84,,,,,,,,0,0,16,0,,0,84,,
AVRN,19Oct2018,Pacific,Y,,,-78,,,,,,0,0,-78,,,"9,758",,,,,,,,0,0,13,0,,3,77,0.01,
