BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PGE,24Oct2015,Pacific,N,"49,735","49,919","44,014","-16,566",,,,,,,,,,"-16,003",-563,,,,,,,,,,,,,,,
PGE,25Oct2015,Pacific,N,"50,036","50,268","42,185","-18,046",,,,,,,,,,"-17,118",-928,,,,,,,,,,,,,,,
PGE,26Oct2015,Pacific,N,"53,939","54,245","40,200","-24,028",,,,,,,,,,"-22,630","-1,398",,,,,,,,,,,,,,,
PGE,27Oct2015,Pacific,N,"53,857","55,020","44,378","-21,350",,,,,,,,,,"-20,274","-1,076",,,,,,,,,,,,,,,
PGE,28Oct2015,Pacific,N,"54,312","55,640","44,465","-22,028",,,,,,,,,,"-20,219","-1,809",,,,,,,,,,,,,,,
PGE,29Oct2015,Pacific,N,"53,525","54,820","36,024","-28,634",,,,,,,,,,"-25,338","-3,296",,,,,,,,,,,,,,,
PGE,30Oct2015,Pacific,N,"53,226","54,208","33,623","-30,609",,,,,,,,,,"-27,661","-2,948",,,,,,,,,,,,,,,
PGE,31Oct2015,Pacific,N,"50,347","50,481","32,523","-27,953",,,,,,,,,,"-25,251","-2,702",,,,,,,,,,,,,,,
PGE,01Nov2015,Pacific,N,"51,905","52,035","33,043","-28,332",,,,,,,,,,"-25,652","-2,680",,,,,,,,,,,,,,,
PGE,02Nov2015,Pacific,N,"54,906","54,945","39,516","-25,195",,,,,,,,,,"-22,443","-2,752",,,,,,,,,,,,,,,
PGE,03Nov2015,Pacific,N,"57,055","57,408","40,321","-26,834",,,,,,,,,,"-23,909","-2,925",,,,,,,,,,,,,,,
PGE,04Nov2015,Pacific,N,"58,527","59,637","41,655","-28,534",,,,,,,,,,"-25,635","-2,899",,,,,,,,,,,,,,,
PGE,05Nov2015,Pacific,N,"57,314","58,101","36,958","-31,662",,,,,,,,,,"-28,905","-2,757",,,,,,,,,,,,,,,
PGE,06Nov2015,Pacific,N,"54,070","55,193","39,331","-27,107",,,,,,,,,,"-24,435","-2,672",,,,,,,,,,,,,,,
PGE,07Nov2015,Pacific,N,"52,584","53,833","39,190","-25,330",,,,,,,,,,"-22,270","-3,060",,,,,,,,,,,,,,,
PGE,08Nov2015,Pacific,N,"50,940","52,550","40,662","-21,937",,,,,,,,,,"-19,083","-2,854",,,,,,,,,,,,,,,
PGE,09Nov2015,Pacific,N,"57,708","58,433","42,071","-27,516",,,,,,,,,,"-24,161","-3,355",,,,,,,,,,,,,,,
PGE,10Nov2015,Pacific,N,"59,253","60,875","39,454","-32,118",,,,,,,,,,"-28,426","-3,692",,,,,,,,,,,,,,,
PGE,11Nov2015,Pacific,N,"57,810","58,677","33,209","-35,897",,,,,,,,,,"-32,538","-3,359",,,,,,,,,,,,,,,
PGE,12Nov2015,Pacific,N,"59,788","60,674","39,967","-32,274",,,,,,,,,,"-28,581","-3,693",,,,,,,,,,,,,,,
PGE,13Nov2015,Pacific,N,"56,109","57,031","31,275","-34,996",,,,,,,,,,"-31,207","-3,789",,,,,,,,,,,,,,,
PGE,14Nov2015,Pacific,N,"52,483","51,969","35,748","-24,486",,,,,,,,,,"-21,010","-3,476",,,,,,,,,,,,,,,
PGE,15Nov2015,Pacific,N,"54,641","53,477","31,199","-29,465",,,,,,,,,,"-25,745","-3,720",,,,,,,,,,,,,,,
PGE,16Nov2015,Pacific,N,"61,028","61,432","37,195","-34,719",,,,,,,,,,"-30,115","-4,604",,,,,,,,,,,,,,,
PGE,17Nov2015,Pacific,N,"58,301","58,107","34,807","-33,514",,,,,,,,,,"-28,820","-4,694",,,,,,,,,,,,,,,
PGE,18Nov2015,Pacific,N,"59,346","58,304","37,161","-31,797",,,,,,,,,,"-27,057","-4,740",,,,,,,,,,,,,,,
PGE,19Nov2015,Pacific,N,"60,415","60,097","45,043","-25,674",,,,,,,,,,"-20,726","-4,948",,,,,,,,,,,,,,,
PGE,20Nov2015,Pacific,N,"59,838","60,060","44,608","-26,532",,,,,,,,,,"-22,014","-4,518",,,,,,,,,,,,,,,
PGE,21Nov2015,Pacific,N,"57,043","57,512","38,045","-32,361",,,,,,,,,,"-28,418","-3,943",,,,,,,,,,,,,,,
PGE,22Nov2015,Pacific,N,"59,334","59,487","36,975","-34,024",,,,,,,,,,"-30,324","-3,700",,,,,,,,,,,,,,,
PGE,23Nov2015,Pacific,N,"64,648","65,584","39,526","-37,785",,,,,,,,,,"-33,987","-3,798",,,,,,,,,,,,,,,
PGE,24Nov2015,Pacific,N,"65,086","64,152","39,400","-35,902",,,,,,,,,,"-31,867","-4,035",,,,,,,,,,,,,,,
PGE,25Nov2015,Pacific,N,"65,373","64,613","43,339","-32,081",,,,,,,,,,"-28,160","-3,921",,,,,,,,,,,,,,,
PGE,26Nov2015,Pacific,N,"58,965","60,362","45,529","-27,310",,,,,,,,,,"-23,731","-3,579",,,,,,,,,,,,,,,
PGE,27Nov2015,Pacific,N,"60,051","59,760","44,859","-26,948",,,,,,,,,,"-23,308","-3,640",,,,,,,,,,,,,,,
PGE,28Nov2015,Pacific,N,"62,165","59,942","45,019","-26,500",,,,,,,,,,"-23,009","-3,491",,,,,,,,,,,,,,,
PGE,29Nov2015,Pacific,N,"63,053","63,288","50,116","-26,107",,,,,,,,,,"-22,008","-4,099",,,,,,,,,,,,,,,
PGE,30Nov2015,Pacific,N,"70,760","71,675","52,683","-29,800",,,,,,,,,,"-25,376","-4,424",,,,,,,,,,,,,,,
PGE,01Dec2015,Pacific,N,"68,764","67,254","47,455","-31,628",,,,,,,,,,"-27,503","-4,125",,,,,,,,,,,,,,,
PGE,02Dec2015,Pacific,N,"67,802","66,292","45,739","-30,979",,,,,,,,,,"-26,692","-4,287",,,,,,,,,,,,,,,
PGE,03Dec2015,Pacific,N,"65,515","63,505","43,431","-28,135",,,,,,,,,,"-23,915","-4,220",,,,,,,,,,,,,,,
PGE,04Dec2015,Pacific,N,"61,138","60,474","39,483","-27,800",,,,,,,,,,"-23,321","-4,479",,,,,,,,,,,,,,,
PGE,05Dec2015,Pacific,N,"58,343","58,121","41,935","-25,247",,,,,,,,,,"-20,909","-4,338",,,,,,,,,,,,,,,
PGE,06Dec2015,Pacific,N,"55,854","55,560","39,326","-24,178",,,,,,,,,,"-19,875","-4,303",,,,,,,,,,,,,,,
PGE,07Dec2015,Pacific,N,"59,959","57,945","37,510","-27,352",,,,,,,,,,"-22,494","-4,858",,,,,,,,,,,,,,,
PGE,08Dec2015,Pacific,N,"59,174","57,506","40,901","-25,476",,,,,,,,,,"-19,306","-6,170",,,,,,,,,,,,,,,
