BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GVL,03Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,04Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,05Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,06Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,07Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,08Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,09Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,10Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,11Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,12Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,13Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,14Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,15Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,16Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,17Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,18Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,19Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,20Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,21Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,22Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,23Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,24Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,25Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,26Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,27Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,28Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,29Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,30Sep2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,01Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,02Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,03Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,04Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,05Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,06Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,07Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,08Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,09Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,10Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,11Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,12Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,13Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,14Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,15Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,16Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,17Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,18Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,19Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,20Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,21Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,22Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,23Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,24Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,25Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,26Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,27Oct2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,28Oct2015,Eastern,N,,,,,,,,,,,,,,-273,"-1,837",,,,,,,,,,,,,,,
GVL,29Oct2015,Eastern,N,,"5,326","3,252","-2,071",,,,,,,,,,-259,"-1,818",,,,,,,,,,,,,,,
GVL,30Oct2015,Eastern,N,"4,845","5,044","3,182","-1,856",,,,,,,,,,-97,"-1,762",,,,,,,,,,,,,,,
GVL,31Oct2015,Eastern,N,"4,605","4,944","3,220","-1,725",,,,,,,,,,-239,"-1,486",,,,,,,,,,,,,,,
GVL,01Nov2015,Eastern,N,"4,897","5,790","3,500","-2,291",,,,,,,,,,-468,"-1,821",,,,,,,,,,,,,,,
GVL,02Nov2015,Eastern,N,"5,188","6,082","3,544","-2,535",,,,,,,,,,-408,"-2,126",,,,,,,,,,,,,,,
GVL,03Nov2015,Eastern,N,"5,308","6,331","3,304","-3,028",,,,,,,,,,-686,"-2,340",,,,,,,,,,,,,,,
GVL,04Nov2015,Eastern,N,"5,308","6,368","3,506","-2,861",,,,,,,,,,-556,"-2,302",,,,,,,,,,,,,,,
GVL,05Nov2015,Eastern,N,"4,480","6,228","4,121","-2,104",,,,,,,,,,-167,"-1,939",,,,,,,,,,,,,,,
GVL,06Nov2015,Eastern,N,"4,572","5,979","4,089","-1,892",,,,,,,,,,-299,"-1,593",,,,,,,,,,,,,,,
GVL,07Nov2015,Eastern,N,"4,478","5,636","4,127","-1,506",,,,,,,,,,4,"-1,508",,,,,,,,,,,,,,,
GVL,08Nov2015,Eastern,N,"4,769","5,313","2,812","-2,500",,,,,,,,,,-639,"-1,860",,,,,,,,,,,,,,,
GVL,09Nov2015,Eastern,N,"4,632","5,397","3,168","-2,227",,,,,,,,,,-618,"-1,609",,,,,,,,,,,,,,,
GVL,10Nov2015,Eastern,N,"4,403","5,384","4,573",-811,,,,,,,,,,332,"-1,140",,,,,,,,,,,,,,,
GVL,11Nov2015,Eastern,N,"4,168","4,898","4,542",-356,,,,,,,,,,449,-800,,,,,,,,,,,,,,,
GVL,12Nov2015,Eastern,N,"4,458","4,932","3,396","-1,534",,,,,,,,,,-315,"-1,221",,,,,,,,,,,,,,,
GVL,13Nov2015,Eastern,N,"4,821","4,605","3,566","-1,036",,,,,,,,,,85,"-1,119",,,,,,,,,,,,,,,
GVL,14Nov2015,Eastern,N,"4,275","4,065","2,960","-1,103",,,,,,,,,,41,"-1,149",,,,,,,,,,,,,,,
GVL,15Nov2015,Eastern,N,"3,878","4,178","3,077","-1,101",,,,,,,,,,-8,"-1,093",,,,,,,,,,,,,,,
GVL,16Nov2015,Eastern,N,"4,325","4,709","3,084","-1,620",,,,,,,,,,-202,"-1,423",,,,,,,,,,,,,,,
GVL,17Nov2015,Eastern,N,"4,504","5,056","3,447","-1,606",,,,,,,,,,171,"-1,781",,,,,,,,,,,,,,,
GVL,18Nov2015,Eastern,N,"4,888","5,483","3,433","-2,050",,,,,,,,,,170,"-2,221",,,,,,,,,,,,,,,
GVL,19Nov2015,Eastern,N,"4,596","5,322","3,255","-2,066",,,,,,,,,,133,"-2,201",,,,,,,,,,,,,,,
GVL,20Nov2015,Eastern,N,"4,413","4,873","3,267","-1,605",,,,,,,,,,122,"-1,727",,,,,,,,,,,,,,,
GVL,21Nov2015,Eastern,N,"4,066","4,620","3,340","-1,283",,,,,,,,,,-68,"-1,214",,,,,,,,,,,,,,,
