BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,20Aug2015,Eastern,N,"571,687","590,150","492,479","-97,671",,,,,,,,,,"-38,955","-27,685","13,266","-44,298",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,21Aug2015,Eastern,N,"531,635","531,640","448,274","-83,366",,,,,,,,,,"-30,234","-27,902","14,624","-39,858",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,22Aug2015,Eastern,N,"469,639","459,072","383,121","-75,951",,,,,,,,,,"-35,491","-20,174","11,124","-31,406",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,23Aug2015,Eastern,N,"451,456","462,494","379,406","-83,088",,,,,,,,,,"-34,268","-29,398","15,539","-34,913",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,24Aug2015,Eastern,N,"513,045","533,346","445,891","-87,455",,,,,,,,,,"-36,110","-27,415","18,289","-42,221",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,25Aug2015,Eastern,N,"515,736","542,087","447,531","-94,556",,,,,,,,,,"-32,837","-27,892","15,317","-49,145",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,26Aug2015,Eastern,N,"492,804","490,090","411,253","-78,837",,,,,,,,,,"-30,406","-19,595","16,743","-45,574",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,27Aug2015,Eastern,N,"471,009","468,791","393,290","-75,501",,,,,,,,,,"-29,695","-18,662","9,742","-36,892",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,28Aug2015,Eastern,N,"458,947","460,614","379,091","-81,523",,,,,,,,,,"-30,479","-21,527",707,"-30,227",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,29Aug2015,Eastern,N,"431,674","442,224","375,458","-66,766",,,,,,,,,,"-3,282","-22,480","-10,801","-30,201",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,30Aug2015,Eastern,N,"451,484","473,556","401,851","-71,705",,,,,,,,,,"-2,839","-25,833","-8,861","-34,174",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,31Aug2015,Eastern,N,"543,625","563,818","476,848","-86,970",,,,,,,,,,"-31,143","-20,378","13,534","-48,984",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,01Sep2015,Eastern,N,"564,303","566,138","483,671","-82,467",,,,,,,,,,"-37,840","-13,944","8,869","-39,554",,,,,,,,,,,,,,,,,,,,,,,,,,
