BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,03Sep2015,Pacific,N,"23,410","23,270","8,234","-14,704",,,,,,,,,,"-14,632","-1,100",,,,,,,,,,,,,,,
SCL,04Sep2015,Pacific,N,"24,465","23,861","8,913","-14,593",,,,,,,,,,"-13,748","-1,880",,,,,,,,,,,,,,,
SCL,05Sep2015,Pacific,N,"22,786","22,143","9,771","-12,052",,,,,,,,,,"-13,248",260,,,,,,,,,,,,,,,
SCL,06Sep2015,Pacific,N,"22,370","22,197","11,433","-10,445",,,,,,,,,,"-10,840",-516,,,,,,,,,,,,,,,
SCL,07Sep2015,Pacific,N,"22,650","22,819","10,969","-11,520",,,,,,,,,,"-10,045","-2,369",,,,,,,,,,,,,,,
SCL,08Sep2015,Pacific,N,"24,589","24,930","9,675","-14,955",,,,,,,,,,"-12,798","-3,013",,,,,,,,,,,,,,,
SCL,09Sep2015,Pacific,N,"23,965","24,384","10,459","-13,636",,,,,,,,,,"-11,229","-3,254",,,,,,,,,,,,,,,
SCL,10Sep2015,Pacific,N,"23,959","24,631","10,398","-13,819",,,,,,,,,,"-11,003","-3,649",,,,,,,,,,,,,,,
SCL,11Sep2015,Pacific,N,"25,456","25,708","12,010","-13,260",,,,,,,,,,"-10,437","-3,661",,,,,,,,,,,,,,,
SCL,12Sep2015,Pacific,N,"23,465","23,720","10,262","-13,175",,,,,,,,,,"-11,685","-2,328",,,,,,,,,,,,,,,
SCL,13Sep2015,Pacific,N,"22,865","22,983","10,568","-12,152",,,,,,,,,,"-11,123","-1,839",,,,,,,,,,,,,,,
SCL,14Sep2015,Pacific,N,"24,820","23,582","11,520","-11,831",,,,,,,,,,"-10,665","-1,971",,,,,,,,,,,,,,,
SCL,15Sep2015,Pacific,N,"24,025","25,026","12,238","-12,538",,,,,,,,,,"-11,915","-1,399",,,,,,,,,,,,,,,
SCL,16Sep2015,Pacific,N,"24,290","24,175","13,001","-10,907",,,,,,,,,,"-10,518","-1,150",,,,,,,,,,,,,,,
SCL,17Sep2015,Pacific,N,"23,810","23,835","11,668","-11,926",,,,,,,,,,"-11,934",-745,,,,,,,,,,,,,,,
SCL,18Sep2015,Pacific,N,"24,840","24,735","10,885","-13,583",,,,,,,,,,"-13,017","-1,288",,,,,,,,,,,,,,,
SCL,19Sep2015,Pacific,N,"23,102","23,031","10,943","-11,837",,,,,,,,,,"-11,493","-1,054",,,,,,,,,,,,,,,
SCL,20Sep2015,Pacific,N,"22,823","23,324","11,189","-11,877",,,,,,,,,,"-11,560","-1,042",,,,,,,,,,,,,,,
SCL,21Sep2015,Pacific,N,"25,112","24,889","11,392","-13,246",,,,,,,,,,"-12,304","-1,729",,,,,,,,,,,,,,,
SCL,22Sep2015,Pacific,N,"24,930","24,953","11,666","-13,061",,,,,,,,,,"-12,383","-1,534",,,,,,,,,,,,,,,
SCL,23Sep2015,Pacific,N,"23,932","24,214","14,898","-9,077",,,,,,,,,,"-9,781",-151,,,,,,,,,,,,,,,
SCL,24Sep2015,Pacific,N,"24,157","24,347","14,881","-9,098",,,,,,,,,,"-8,410","-1,556",,,,,,,,,,,,,,,
SCL,25Sep2015,Pacific,N,"24,906","24,661","13,714","-10,708",,,,,,,,,,"-9,748","-1,757",,,,,,,,,,,,,,,
SCL,26Sep2015,Pacific,N,"23,093","22,935","12,625","-10,091",,,,,,,,,,"-9,777","-1,098",,,,,,,,,,,,,,,
SCL,27Sep2015,Pacific,N,"22,996","23,193","13,602","-9,363",,,,,,,,,,"-8,885","-1,283",,,,,,,,,,,,,,,
SCL,28Sep2015,Pacific,N,"25,507","25,773","15,921","-9,595",,,,,,,,,,"-8,679","-1,766",,,,,,,,,,,,,,,
SCL,29Sep2015,Pacific,N,"24,793","24,778","16,245","-8,298",,,,,,,,,,"-7,744","-1,428",,,,,,,,,,,,,,,
SCL,30Sep2015,Pacific,N,"24,085","24,150","17,028","-6,835",,,,,,,,,,"-6,322","-1,406",,,,,,,,,,,,,,,
SCL,01Oct2015,Pacific,N,"24,060","24,373","16,361","-7,590",,,,,,,,,,"-7,370","-1,131",,,,,,,,,,,,,,,
SCL,02Oct2015,Pacific,N,"24,820","25,323","16,722","-8,325",,,,,,,,,,"-9,204",3,,,,,,,,,,,,,,,
SCL,03Oct2015,Pacific,N,"23,568","23,270","16,291","-6,726",,,,,,,,,,"-7,573",28,,,,,,,,,,,,,,,
SCL,04Oct2015,Pacific,N,"23,051","23,203","16,648","-6,313",,,,,,,,,,"-6,585",-575,,,,,,,,,,,,,,,
SCL,05Oct2015,Pacific,N,"25,301","25,765","18,569","-6,916",,,,,,,,,,"-7,240",-516,,,,,,,,,,,,,,,
