BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,PJM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
OVEC,01Sep2015,Eastern,N,"2,472","2,252","37,074","34,822",,,,,,,,,,"-10,094","44,916",,,,,,,,,,,,,,,
OVEC,02Sep2015,Eastern,N,"2,328","2,131","31,777","29,646",,,,,,,,,,"-9,257","38,903",,,,,,,,,,,,,,,
OVEC,03Sep2015,Eastern,N,"2,184","2,140","30,962","28,822",,,,,,,,,,"-5,481","34,303",,,,,,,,,,,,,,,
OVEC,04Sep2015,Eastern,N,"2,208","2,219","31,449","29,230",,,,,,,,,,"-3,527","32,757",,,,,,,,,,,,,,,
OVEC,05Sep2015,Eastern,N,"2,304","2,019","25,515","23,496",,,,,,,,,,-491,"23,987",,,,,,,,,,,,,,,
OVEC,06Sep2015,Eastern,N,"2,088","1,964","25,532","23,568",,,,,,,,,,-647,"24,215",,,,,,,,,,,,,,,
OVEC,07Sep2015,Eastern,N,"2,016","1,979","27,163","25,184",,,,,,,,,,"-4,495","29,679",,,,,,,,,,,,,,,
OVEC,08Sep2015,Eastern,N,"2,040","2,062","30,701","28,639",,,,,,,,,,-870,"29,509",,,,,,,,,,,,,,,
OVEC,09Sep2015,Eastern,N,"2,136","2,003","30,899","28,896",,,,,,,,,,-338,"29,234",,,,,,,,,,,,,,,
OVEC,10Sep2015,Eastern,N,"2,064","1,992","29,223","27,231",,,,,,,,,,"2,141","25,090",,,,,,,,,,,,,,,
OVEC,11Sep2015,Eastern,N,"2,064","2,011","28,172","26,161",,,,,,,,,,-601,"26,762",,,,,,,,,,,,,,,
OVEC,12Sep2015,Eastern,N,"2,088","1,588","19,552","17,964",,,,,,,,,,"-1,423","19,387",,,,,,,,,,,,,,,
OVEC,13Sep2015,Eastern,N,"1,632","1,469","19,353","17,884",,,,,,,,,,-68,"17,952",,,,,,,,,,,,,,,
OVEC,14Sep2015,Eastern,N,"1,536","1,572","22,743","21,171",,,,,,,,,,"-2,700","23,871",,,,,,,,,,,,,,,
OVEC,15Sep2015,Eastern,N,"1,632","1,618","23,444","21,826",,,,,,,,,,"-5,627","27,453",,,,,,,,,,,,,,,
OVEC,16Sep2015,Eastern,N,"1,680","1,830","25,401","23,571",,,,,,,,,,"-9,632","33,214",,,,,,,,,,,,,,,
OVEC,17Sep2015,Eastern,N,"1,896","1,899","28,942","27,043",,,,,,,,,,"-8,264","35,307",,,,,,,,,,,,,,,
OVEC,18Sep2015,Eastern,N,"1,968","1,949","34,797","32,848",,,,,,,,,,"-5,053","37,901",,,,,,,,,,,,,,,
OVEC,19Sep2015,Eastern,N,"2,016","1,882","30,684","28,802",,,,,,,,,,"-2,578","31,380",,,,,,,,,,,,,,,
OVEC,20Sep2015,Eastern,N,"1,944","1,758","25,038","23,280",,,,,,,,,,"-3,730","27,010",,,,,,,,,,,,,,,
OVEC,21Sep2015,Eastern,N,"1,824","2,040","33,049","31,009",,,,,,,,,,"-2,254","33,263",,,,,,,,,,,,,,,
OVEC,22Sep2015,Eastern,N,"2,112","2,011","30,160","28,149",,,,,,,,,,"2,314","25,835",,,,,,,,,,,,,,,
OVEC,23Sep2015,Eastern,N,"2,088","2,076","35,273","33,197",,,,,,,,,,"2,757","30,440",,,,,,,,,,,,,,,
OVEC,24Sep2015,Eastern,N,"2,136","2,034","34,705","32,671",,,,,,,,,,713,"31,958",,,,,,,,,,,,,,,
