BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,IPCO,LDWP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NEVP,13Aug2015,Pacific,N,"134,917","128,214","112,486","-15,645",,,,,,,,,,"-1,187","-6,054",-699,"-9,866","-3,445","5,606",,,,,,,,,,,,,,,
NEVP,14Aug2015,Pacific,N,"139,499","126,633","117,830","-8,721",,,,,,,,,,"-2,452","-5,997",-529,"-6,302","-3,426","9,985",,,,,,,,,,,,,,,
NEVP,15Aug2015,Pacific,N,"137,526","131,599","116,296","-15,215",,,,,,,,,,"-1,674","-7,108","-1,940","-6,738","-7,079","9,324",,,,,,,,,,,,,,,
NEVP,16Aug2015,Pacific,N,"138,551","136,700","121,320","-15,275",,,,,,,,,,"-1,830","-6,654","-1,203","-7,249","-7,175","8,836",,,,,,,,,,,,,,,
NEVP,17Aug2015,Pacific,N,"141,025","143,471","125,672","-17,687",,,,,,,,,,"-1,649","-7,631","-1,632","-9,253","-4,135","6,613",,,,,,,,,,,,,,,
NEVP,18Aug2015,Pacific,N,"138,784","141,942","121,411","-20,429",,,,,,,,,,"-1,128","-6,701",-863,"-11,468","-4,526","4,257",,,,,,,,,,,,,,,
NEVP,19Aug2015,Pacific,N,"134,718","138,665","118,545","-20,008",,,,,,,,,,"-2,720","-5,921",-586,"-10,698","-4,891","4,808",,,,,,,,,,,,,,,
NEVP,20Aug2015,Pacific,N,"133,989","137,557","119,326","-18,135",,,,,,,,,,"-2,742","-3,597","-1,068","-11,520","-6,662","7,454",,,,,,,,,,,,,,,
NEVP,21Aug2015,Pacific,N,"131,212","137,115","119,788","-17,207",,,,,,,,,,-277,"-4,623","-1,806","-8,526","-8,329","6,354",,,,,,,,,,,,,,,
NEVP,22Aug2015,Pacific,N,"126,156","131,810","115,488","-16,193",,,,,,,,,,-187,"-6,821","-2,447","-7,107","-8,027","8,396",,,,,,,,,,,,,,,
NEVP,23Aug2015,Pacific,N,"125,931","129,669","112,674","-16,871",,,,,,,,,,-856,"-6,741","-3,317","-6,510","-8,999","9,552",,,,,,,,,,,,,,,
NEVP,24Aug2015,Pacific,N,"131,617","134,274","118,015","-16,141",,,,,,,,,,"-1,735","-6,489","-2,840","-7,339","-6,091","8,353",,,,,,,,,,,,,,,
NEVP,25Aug2015,Pacific,N,"131,808","124,213","111,097","-13,056",,,,,,,,,,"-1,585","-4,208","-2,570","-9,481","-3,693","8,481",,,,,,,,,,,,,,,
NEVP,26Aug2015,Pacific,N,"127,100","125,701","112,906","-12,715",,,,,,,,,,"-1,112","-3,386","-2,460","-8,769","-5,792","8,804",,,,,,,,,,,,,,,
NEVP,27Aug2015,Pacific,N,"130,206","130,001","112,848","-17,065",,,,,,,,,,"-1,559","-3,962","-2,384","-9,678","-6,551","7,069",,,,,,,,,,,,,,,
NEVP,28Aug2015,Pacific,N,"131,860","132,776","113,446","-19,244",,,,,,,,,,"-1,045","-5,027","-2,214","-10,272","-7,453","6,767",,,,,,,,,,,,,,,
NEVP,29Aug2015,Pacific,N,"125,945","133,528","116,052","-17,380",,,,,,,,,,-888,"-6,052","-2,523","-8,614","-7,670","8,367",,,,,,,,,,,,,,,
NEVP,30Aug2015,Pacific,N,"120,877","125,258","109,137","-16,025",,,,,,,,,,-888,"-5,604","-3,301","-8,057","-8,109","9,934",,,,,,,,,,,,,,,
NEVP,31Aug2015,Pacific,N,"122,182","125,770","110,074","-15,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,01Sep2015,Pacific,N,"123,531","123,199","109,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,02Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,03Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,04Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,05Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,06Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,07Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,08Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,09Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,10Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,11Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,12Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,13Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,14Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,15Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,16Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,17Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,18Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,19Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,20Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,21Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,22Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,23Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,24Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,25Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,26Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,27Sep2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,28Sep2015,Pacific,N,,,,,,,,,,,,,,"-1,350","-5,724","-3,598","-5,739","-5,373","9,504",,,,,,,,,,,,,,,
NEVP,29Sep2015,Pacific,N,,"114,867","103,399","-11,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,30Sep2015,Pacific,N,"115,579","112,984","101,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,01Oct2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,02Oct2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,03Oct2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,04Oct2015,Pacific,N,,,,,,,,,,,,,,-2,"-5,273","-3,101","-1,247","-7,247","13,250",,,,,,,,,,,,,,,
NEVP,05Oct2015,Pacific,N,,"87,430","85,255","-2,175",,,,,,,,,,-44,"-4,385","-3,458","-1,862","-5,593","13,167",,,,,,,,,,,,,,,
NEVP,06Oct2015,Pacific,N,"91,577","87,997","86,161","-1,836",,,,,,,,,,-741,"-4,841","-3,302",-398,"-5,730","13,176",,,,,,,,,,,,,,,
NEVP,07Oct2015,Pacific,N,"94,609","92,610","90,438","-2,172",,,,,,,,,,-779,"-6,112","-3,539",561,"-4,964","12,661",,,,,,,,,,,,,,,
NEVP,08Oct2015,Pacific,N,"99,571","98,889","97,135","-1,633",,,,,,,,,,-462,"-5,364","-2,841",-1,"-4,099","11,134",,,,,,,,,,,,,,,
NEVP,09Oct2015,Pacific,N,"103,666","103,665","99,614","-4,051",,,,,,,,,,"-2,086","-6,905","-6,086","2,837","-5,850","14,039",,,,,,,,,,,,,,,
NEVP,10Oct2015,Pacific,N,"102,688","102,153","96,824","-5,329",,,,,,,,,,"-2,027","-4,903","-6,888","1,263","-7,004","14,230",,,,,,,,,,,,,,,
NEVP,11Oct2015,Pacific,N,"102,247","100,888","95,399","-5,489",,,,,,,,,,"-2,230","-3,082","-7,916",488,"-9,086","16,337",,,,,,,,,,,,,,,
NEVP,12Oct2015,Pacific,N,"106,641","105,430","99,886","-5,569",,,,,,,,,,"-2,671","-3,547","-6,679","1,381","-9,134","15,081",,,,,,,,,,,,,,,
NEVP,13Oct2015,Pacific,N,"109,175","105,714","100,527","-5,187",,,,,,,,,,"-2,896","-3,482","-6,641","1,861","-10,241","16,212",,,,,,,,,,,,,,,
NEVP,14Oct2015,Pacific,N,"108,741","106,498","101,077","-5,358",,,,,,,,,,"-2,199","-4,173","-6,068",390,"-9,457","16,149",,,,,,,,,,,,,,,
NEVP,15Oct2015,Pacific,N,"104,508","99,679","95,460","-4,219",,,,,,,,,,"-1,755","-3,939","-6,272",-359,"-7,152","15,258",,,,,,,,,,,,,,,
NEVP,16Oct2015,Pacific,N,"100,704","94,993","79,807","-15,106",,,,,,,,,,"-1,608","-4,147","-6,684","-5,825","-7,750","10,908",,,,,,,,,,,,,,,
NEVP,17Oct2015,Pacific,N,"91,827","90,863","75,677","-15,186",,,,,,,,,,"-1,530","-4,660","-6,877","-7,577","-8,092","13,550",,,,,,,,,,,,,,,
NEVP,18Oct2015,Pacific,N,"90,331","88,001","72,412","-15,518",,,,,,,,,,"-1,095","-4,329","-6,836","-8,670","-8,285","13,697",,,,,,,,,,,,,,,
NEVP,19Oct2015,Pacific,N,"88,690","87,492","73,697","-13,795",,,,,,,,,,"-2,031","-4,586","-5,683","-8,472","-6,030","13,007",,,,,,,,,,,,,,,
NEVP,20Oct2015,Pacific,N,"88,964","87,184","73,242","-13,942",,,,,,,,,,"-3,432","-5,111","-5,407","-7,713","-5,307","13,028",,,,,,,,,,,,,,,
NEVP,21Oct2015,Pacific,N,"89,239","88,318","75,444","-12,874",,,,,,,,,,-790,"-5,868","-4,931","-8,241","-3,509","10,465",,,,,,,,,,,,,,,
NEVP,22Oct2015,Pacific,N,"89,581","88,800","74,160","-14,640",,,,,,,,,,-6,"-6,426","-5,780","-8,185","-4,745","10,502",,,,,,,,,,,,,,,
NEVP,23Oct2015,Pacific,N,"89,104","88,134","80,271","-7,863",,,,,,,,,,-95,"-6,997","-5,485","-4,349","-4,272","13,335",,,,,,,,,,,,,,,
NEVP,24Oct2015,Pacific,N,"87,232","83,698","81,249","-2,449",,,,,,,,,,-74,"-5,869","-5,470","-2,315","-4,398","15,677",,,,,,,,,,,,,,,
NEVP,25Oct2015,Pacific,N,"87,020","81,686","79,783","-1,903",,,,,,,,,,-370,"-3,879","-5,704","-3,856","-4,962","16,868",,,,,,,,,,,,,,,
NEVP,26Oct2015,Pacific,N,"90,285","86,470","83,148","-3,322",,,,,,,,,,"-1,380","-4,891","-6,195","-3,099","-5,600","17,843",,,,,,,,,,,,,,,
NEVP,27Oct2015,Pacific,N,"89,079","85,762","84,995",-767,,,,,,,,,,"-1,583","-4,354","-5,259","-2,666","-5,026","18,121",,,,,,,,,,,,,,,
